,RIC,error
782474480,,No best match available
782474514,,No best match available
05573H108,,No best match available
37951M102,GAHC.PK,
74347Y706,,No best match available
74347W387,,No best match available
698105103,WDKA.PK,
05463X106,AXGN.O,
40171V100,GWRE.K,
81012R106,SCOT.V,
43123W309,HVV.V,
22938T107,CPM.V,
57060U282,,No best match available
19105V105,,No best match available
00213T109,,No best match available
852387307,STAF.O,
02640K107,AGIN.PK,
03476B104,ANK.V,
099876104,BRNE.PK,
04299S936,,No best match available
04299R938,,No best match available
15130J109,,No best match available
33738H102,,No best match available
21751R206,COL.V,
66644R103,NCX.V,
372284208,GNE,
94846W100,,No best match available
808524797,,No best match available
093716108,,No best match available
47713D209,,No best match available
464286517,,No best match available
46429B697,,No best match available
46429B689,,No best match available
464286525,,No best match available
464286533,,No best match available
890260508,TNXP.O,
81809A100,SVNT.PK^D17,
550283105,,No best match available
633707104,NBHC.K,
96181Q101,,No best match available
46431U105,,No best match available
46432J109,,No best match available
57164Y107,VAC,
12555E103,,No best match available
89148H108,TTP,
40167M106,,No best match available
05590R105,,No best match available
05573T102,,No best match available
05573X103,,No best match available
05590N104,,No best match available
066483108,BOZh.V^H16,
46138E628,,No best match available
46138E578,,No best match available
73937B720,,No best match available
73937B738,,No best match available
72201R742,,No best match available
742694300,PRV_u.TO,
00404A109,ACHC.O,
87158A104,SSF_u.TO,
761131101,,No best match available
87482X101,,No best match available
51809A103,,No best match available
G49610101,,No best match available
30217D107,,No best match available
60923R108,MLD_u.TO,
87159A103,,No best match available
268119104,DYNA.PK,
46564C203,INLB.PK,
23249C205,CYBF.PK,
803160100,SWA.V,
73731R103,PSN.TO^E13,
72366T103,,No best match available
87306M109,,No best match available
949485106,WEBK.O,
05369Q106,,No best match available
92337C104,VSTM.O,
963025705,WHLR.O,
27888E109,ECOP.PK,
05207J108,ACU.V,
72201R759,,No best match available
72201R767,,No best match available
37961Q101,GWIN.PK,
78418A307,SGBX.O,
032113102,AMPY.PK^H19,
52730P102,LVBX.PK,
20299C937,,No best match available
258024108,,No best match available
832052104,,No best match available
981558109,WP^G19,
452372105,ILUS.PK,
09073C205,BICX.PK,
911718104,,No best match available
37950E416,,No best match available
189464100,CLVS.O,
69318G106,PBF,
09072Q106,BIOAQ.PK,
46429B135,,No best match available
42969X306,TBEV.PK,
25513X104,,No best match available
136482106,,No best match available
985817105,YELP.K,
34960Q109,FBIO.O,
65341A108,,No best match available
871561106,SYNC.O,
77543A208,RKR.V,
05155D103,AURX.V,
01660T600,ALG.V,
126824101,,No best match available
30064K105,,No best match available
58549G209,MLNT.O,
27887W100,EOG.V,
29272B105,EIGI.O,
G71218104,,No best match available
210294104,WCC.V,
09099A936,,No best match available
961443108,,No best match available
03600T104,,No best match available
31679Q107,,No best match available
62499D935,,No best match available
G1890L107,,No best match available
92939X100,WODI.PK,
82967W108,,No best match available
778791202,,No best match available
683736201,,No best match available
92203E101,,No best match available
92203G106,,No best match available
92203U105,,No best match available
92207G102,,No best match available
92205X107,,No best match available
92206B104,,No best match available
38000P203,GLYE.PK,
896945201,TRIP.O,
779268101,,No best match available
848543104,SPDL.PK,
25459Y777,,No best match available
25459Y769,,No best match available
492537105,KES.V,
227656105,,No best match available
46432B106,,No best match available
75081R104,RNBI.PK,
888785102,TIM.V,
53899C932,,No best match available
G5784H106,,No best match available
50046R101,KNMCY.PK,
204448104,BVN,
105532105,BRKMY.PK,
02319V103,ABEV.K,
21238A206,,No best match available
226406106,CRESY.O,
874039100,TSM,
26152H301,DRD,
15234Q207,EBR,
29265W207,ENLAY.PK,
654655109,,No best match available
78440P108,SKM,
876568502,TTM,
670851401,OIBRQ.PK,
15126Q208,CPAC.K,
68834P103,,No best match available
M0177X118,,No best match available
97651M109,WIT,
60461U109,,No best match available
254753106,,No best match available
752344309,GOLD.O^A19,
169409109,ZNH,
20441A102,SBS,
10552T107,BRFS.K,
631512209,NPSNY.PK,
132148107,,No best match available
346414105,FORTY.O,
G5307C105,,No best match available
368287207,GAZPq.L,
69343P105,LKOHyq.L,
778529107,ROSy.F,
163523103,,No best match available
784188203,,No best match available
70454G207,PCCWY.PK,
20440W105,SID,
827084864,,No best match available
829160100,SMSMY.PK,
92242Y100,VEDL.K,
910873405,UMC,
91912E105,VALE.K,
921020103,,No best match available
876564105,,No best match available
927191106,VCOYY.PK^J18,
053761102,,No best match available
87969N204,TLSYY.PK,
000375204,ABB,
456788108,INFY.K,
804098101,,No best match available
049408206,,No best match available
05961W105,BMA,
636274409,NGG,
004286100,,No best match available
M7S2D3205,,No best match available
82481R106,SHPG.O^A19,
110793403,,No best match available
Q7759R100,,No best match available
45262P102,IMBBY.PK,
358029106,FMS,
697660207,PAM,
29082A107,ERJ,
574800108,,No best match available
00215W100,ASX,
17162W206,,No best match available
559776109,MYTAY.PK,
624678108,MHGVY.PK,
009606203,AIIXY.PK,
43858G107,HKTVY.PK,
31446M306,,No best match available
021244207,ALSMY.PK,
M5920A109,,No best match available
71646J109,,No best match available
29081N209,,No best match available
51817R106,LTM,
40048T106,,No best match available
29446M102,EQNR.K,
87960M205,TLSNY.PK,
363595109,,No best match available
684060106,ORAN.K,
29286D105,ENGIY.PK,
05329Q204,,No best match available
191223205,CCHGY.PK,
44899X968,,No best match available
456463108,IBA,
87944W105,TELNY.PK,
251566105,DTEGY.PK,
00289R201,,No best match available
753009307,,No best match available
654090109,NJDCY.PK,
71654V408,PBR,
204409601,CIG,
400131405,GMKKY.PK,
88706P205,TSU,
87923P105,,No best match available
105530109,,No best match available
87943B102,,No best match available
879246106,,No best match available
879252104,,No best match available
87944E105,,No best match available
87924Y105,,No best match available
92855S200,,No best match available
87936R106,VIV,
859737207,,No best match available
256135203,RDY,
45104G104,IBN,
559778402,MTENY.PK,
89486M206,TMICY.PK,
62942M201,DCMYY.PK,
247637101,DELTY.PK,
M41204104,,No best match available
786326108,,No best match available
264066101,,No best match available
34969P102,FCTY.F,
00506P103,,No best match available
617760202,MOR.O,
30050E105,EVTCY.PK,
G9387N106,,No best match available
25250P108,,No best match available
37185M209,,No best match available
55933J203,MX,
984015503,XBIO.O,
38500P208,GRAM.K,
84651P100,,No best match available
38386P108,,No best match available
92334N103,VEOEY.PK,
74343G402,PRISY.PK,
88875G101,TLSA.O,
17133Q502,CHT,
87160A100,,No best match available
98386D307,XTLB.O,
059520106,BCH,
40053W101,AVAL.K,
03524A108,BUD,
46489T109,,No best match available
713352102,,No best match available
002255107,AUO,
553768409,MTCPY.PK,
M4793C102,,No best match available
M6772H101,,No best match available
05969B103,BSMX.K,
M6158M104,,No best match available
591120100,,No best match available
09074D103,,No best match available
G4863A108,,No best match available
37185R208,,No best match available
54240F103,LONE.O,
45254U101,IMRN.O,
36197T103,GWPH.O,
Q7264T104,,No best match available
60687Y109,MFG,
Q13868106,,No best match available
G9456A100,,No best match available
45853N102,IESFY.PK,
02155X106,ATHE.O,
81783N508,SAPX.PK,
M8791A109,,No best match available
981064108,WF,
606822104,MUFG.K,
Q2594G104,,No best match available
61981U108,,No best match available
Q4999D934,,No best match available
720162106,PLL.O,
45257L108,IMMP.O,
30233G100,EYPT.O,
05606L100,BYDDY.PK,
23283K402,,No best match available
169426103,CHA,
082053307,BNTC.O,
90478E301,UNISQ.PK^A18,
76687M101,,No best match available
45033E105,ITCB.K,
87265H109,TPH,
71715J105,PXSLY.PK,
16939P106,LFC,
G4474Y214,,No best match available
02799Z004,,No best match available
13099W930,,No best match available
97199Q935,,No best match available
51299X001,,No best match available
57773A607,MXMTY.PK,
58498X005,,No best match available
656559309,,No best match available
843830993,,No best match available
675222103,OGC.TO,
674870506,OPTT.O,
G0772R208,,No best match available
048877104,,No best match available
12504L109,CBRE.K,
553109109,,No best match available
94946T106,WCG,
86272T106,,No best match available
17253X105,CPH.TO,
41013V100,HTD,
12504G100,IGR,
756158101,UTG,
50208A102,SCD,
89147L100,TYG,
95766R104,WIW,
09227Q100,BLKB.O,
98389F507,,No best match available
44199X007,,No best match available
59199B003,,No best match available
58499S005,,No best match available
G9078F107,,No best match available
02099B004,,No best match available
070100102,,No best match available
80689H102,SNDR.K,
916742109,UP.CD,
02043Q107,ALNY.O,
03957A104,,No best match available
45719T103,,No best match available
248358103,,No best match available
80600N105,,No best match available
670704105,NUVA.O,
091935502,,No best match available
03475V101,ANGO.O,
92926K103,,No best match available
48369P207,,No best match available
09578R103,,No best match available
45772H202,IVFH.PK,
395259104,GHL,
G1991C105,,No best match available
22163T103,,No best match available
98389A102,,No best match available
60877T100,MNTA.O,
90385V107,UCTT.O,
31943X102,,No best match available
29480N206,ERD.TO,
902621101,,No best match available
740403100,,No best match available
42328A203,,No best match available
294505102,EQB.TO,
71721R406,,No best match available
435763107,HEP,
090319401,BMNM.PK,
64127J102,,No best match available
68276R203,,No best match available
801827106,SCZC.PK,
823213103,,No best match available
128125101,CSQ.O,
55607W100,MFD,
22674T105,,No best match available
09249Y107,,No best match available
19248A109,UTF,
86271N100,SENR.PK,
126804301,,No best match available
250557204,,No best match available
45699K932,,No best match available
25499X003,,No best match available
90131G107,,No best match available
56899G001,,No best match available
98399X001,,No best match available
174903104,CZWI.O,
68764U106,,No best match available
19044R207,,No best match available
19247A100,CNS,
048426100,,No best match available
03761U502,AINV.O,
763102100,RPI_u.TO,
29465A104,,No best match available
222376105,,No best match available
013041108,,No best match available
74733X106,,No best match available
49803T300,KRG,
45104P500,,No best match available
55314U207,MMRF.PK,
81941Q203,,No best match available
29244A102,EDN,
54150E104,LOMA.K,
00299H938,,No best match available
G5698W116,,No best match available
126153105,CPL,
87999T932,,No best match available
12640Y205,,No best match available
G6768K107,,No best match available
583840608,MTL,
889728200,,No best match available
43289P106,HIMX.O,
16946T109,,No best match available
B38564108,,No best match available
86627R102,SMMT.O,
590717104,MESO.O,
87484D103,,No best match available
422368100,,No best match available
362607400,GFASY.PK,
12542Q706,CHFS.O,
G0247E105,,No best match available
G22404118,,No best match available
29359T102,ESNC.PK,
04963Y102,,No best match available
86724Y109,SNDE.O,
36315X101,GLPG.O,
G8063R183,,No best match available
917017105,U.TO,
594837403,MFGP.K,
G0683R107,,No best match available
19042K105,,No best match available
G94949107,,No best match available
30050A202,,No best match available
68235H304,OHGI.PK,
G7998G106,,No best match available
74158D700,,No best match available
05567U107,BSC.TO,
51669T101,LAM.TO,
37954N206,,No best match available
27876N103,EFH.TO,
G55598109,,No best match available
00973E300,AKER.O,
63546D100,NCJ,
58471G300,MDGS.O,
46123C207,INV.TO,
76117K105,,No best match available
03842K200,AQB.O,
29643U105,,No best match available
U72603118,,No best match available
138873104,,No best match available
Q62163110,,No best match available
04399P931,,No best match available
G93285107,,No best match available
10554B104,LND,
639097104,NUS.TO^D19,
57799B936,,No best match available
73180Y203,,No best match available
398438408,GRFS.O,
92938W202,WSP.TO,
59861N103,,No best match available
29355M200,ENVS.PK,
33564P103,FN.TO,
088894100,,No best match available
G38327105,,No best match available
44842L103,HCM.O,
30041N107,ET.TO,
75606L103,RLM.O^H19,
848634309,,No best match available
G3788M114,,No best match available
71673R107,,No best match available
98419V100,,No best match available
G9294B104,,No best match available
60688E300,,No best match available
G9298V106,,No best match available
713360105,KPFSY.PK,
03718T103,,No best match available
485847107,KAT.TO,
75971T301,SOL,
918028309,,No best match available
G10082140,,No best match available
09075G105,BFRA.O,
12514V204,CDTI.PK,
15117K103,CLLS.O,
09071M205,BLRX.O,
68403N109,OPT.TO,
465437101,ITMR.O,
88675R109,TIG.O,
67086E303,,No best match available
372279109,GNFT.O,
G6907R104,,No best match available
925050106,VRNA.O,
74373K109,,No best match available
N90064101,,No best match available
Y27265407,,No best match available
35905J100,FTEO.O,
608458204,,No best match available
05967A107,BSBR.K,
G87636125,,No best match available
60689B107,,No best match available
F4269M103,,No best match available
57886P103,MZOR.O^L18,
76199U930,,No best match available
M4119S104,,No best match available
67421W109,OASMY.PK,
38020T102,GMN.V,
M6240T109,,No best match available
60688N102,MIXT.K,
G6844A115,,No best match available
36116M106,FF,
Q3191S103,,No best match available
279158109,EC,
M1571K108,,No best match available
G35947202,,No best match available
76083G302,,No best match available
02124R107,,No best match available
92836Y201,VISL.O,
39986E105,GRO.V,
10501L106,BWAY.O,
G6769T115,,No best match available
49803V107,KTOV.O,
13471N201,CANF.K,
03280X102,ANCN.O,
88339A203,TRPX.O,
00835P105,GNMX.O,
N47279109,,No best match available
G85347105,,No best match available
M53644106,,No best match available
N53745100,,No best match available
79586X103,SME.V,
N20944109,,No best match available
98920Y304,ZEAL.O,
G66964118,,No best match available
21240E105,VLRS.K,
N07831105,,No best match available
62844N109,MYSZ.TA,
51218Q103,,No best match available
757468103,RDHL.O,
G6613P129,,No best match available
09073Q105,BVXV.O,
L7257P205,,No best match available
91732K109,,No best match available
78643B302,SFET.O,
345523104,FRSX.O,
15116C102,APOP.O,
85569C107,SRT,
89156G109,,No best match available
45999A931,,No best match available
38065A109,,No best match available
62899A937,,No best match available
05367G100,AVH,
63008G104,NNDM.O,
U3762T121,,No best match available
874038102,TLC.O,
50184T406,,No best match available
87509U106,,No best match available
867842106,2012.HK,
G3682E192,,No best match available
23306J101,DBVT.O,
G6583A102,,No best match available
53619W101,LINX.K,
28618M106,ESI,
16965P202,IMOS.O,
151205200,CYAD.O,
140756107,,No best match available
Y7546A122,,No best match available
G0176J109,,No best match available
G0132M121,,No best match available
G4511M108,,No best match available
Y2106R110,,No best match available
G6564A105,,No best match available
04016X101,ARGX.O,
G0684D107,,No best match available
59564R203,MTP.O,
G66832109,,No best match available
619784101,MTFB.O,
09076G104,,No best match available
589492107,MREO.O,
J1799U932,,No best match available
04522R101,ASLN.O,
92845J104,VIVO.V,
G6700G107,,No best match available
Y28895103,,No best match available
Y62151108,,No best match available
04274P105,AXL.V,
039653100,ACA,
Y1146L109,,No best match available
