,RIC,error
33731K102,FEO,
31567R209,,No best match available
65106G100,NWCI.PK,
65336V109,,No best match available
45343Y205,IDNG.PK,
74101A100,PDOB.PK,
58450N102,,No best match available
552650103,,No best match available
12738T100,,No best match available
320847106,,No best match available
090634106,BXI.TO^K13,
70557V101,,No best match available
98585K201,YTEN.O,
025288101,AMK.V,
74623K107,,No best match available
896812104,TIG.V,
71676C206,,No best match available
46433P104,,No best match available
46433F106,,No best match available
46433B204,,No best match available
38068T105,GORO.K,
65412D304,NHK.TO,
892000308,TWER.PK,
693665101,,No best match available
16939Q104,,No best match available
17157P109,,No best match available
M82183209,,No best match available
Q8271C100,,No best match available
874023104,,No best match available
378973408,GSAT.K,
716725106,PCQ.V,
40432Y109,HPIL.PK,
957881303,WCRS.PK,
45665G303,INFI.O,
28265C104,,No best match available
22787P107,CRWG.PK,
65337X104,NXG.V,
46139B102,,No best match available
95628P106,,No best match available
583081203,MAY.CD,
700563208,PLC.TO,
73935X559,,No best match available
73935X237,,No best match available
73935X526,,No best match available
73935X518,,No best match available
73935X542,,No best match available
73935X534,,No best match available
73935X484,,No best match available
73935X492,,No best match available
73935X476,,No best match available
46137V597,,No best match available
48660Q102,,No best match available
67085J105,,No best match available
464288745,,No best match available
464288695,,No best match available
464288729,,No best match available
464288711,,No best match available
464288737,,No best match available
46137Y500,,No best match available
18383M407,,No best match available
46137V209,,No best match available
46137V555,,No best match available
46137Y104,,No best match available
72764B100,PLU.V,
40273W105,GSPE.PK,
Y1968P121,,No best match available
843395104,SONA.O,
602675100,,No best match available
09202D207,BDI.TO,
598147106,,No best match available
09254B109,,No best match available
35645F103,,No best match available
617468103,CAF,
90342V109,,No best match available
35137T108,,No best match available
460378201,ISCO.PK,
92999Y998,,No best match available
96924N100,WLDN.O,
89235K105,,No best match available
45328X206,IO.V,
19249M102,COHN.K,
26443R100,,No best match available
74164F103,PRIM.O,
G67742109,,No best match available
04247X102,AWI,
46137V845,,No best match available
46137V886,,No best match available
73935X328,,No best match available
46137V852,,No best match available
46137V704,,No best match available
46137V860,,No best match available
46137V811,,No best match available
46137V803,,No best match available
73935X468,,No best match available
73935X336,,No best match available
46137V878,,No best match available
97717W752,,No best match available
97717W745,,No best match available
97717W737,,No best match available
97717W729,,No best match available
97717W711,,No best match available
97717W695,,No best match available
97717W687,,No best match available
97717W679,,No best match available
97717W661,,No best match available
97717W653,,No best match available
42331P106,HLXW.PK,
92189F304,,No best match available
92189F205,,No best match available
868447103,,No best match available
03957U100,,No best match available
18382P104,,No best match available
984141101,,No best match available
53184C100,LBS.TO,
37946S107,,No best match available
258598101,,No best match available
13679U106,,No best match available
46430P107,,No best match available
385034103,,No best match available
875100109,,No best match available
909089203,,No best match available
04623N108,,No best match available
169491107,CHME.PK,
46137V126,,No best match available
46137V589,,No best match available
46137V407,,No best match available
12618X106,,No best match available
367348109,,No best match available
92913C106,IRR,
79546E104,SBH,
29084T104,,No best match available
43742E102,,No best match available
96327X101,WFCF.PK,
698659109,,No best match available
83438K103,,No best match available
44329X109,,No best match available
M8183P102,,No best match available
92826B104,,No best match available
482423100,,No best match available
44980X109,IPGP.O,
64830A109,,No best match available
71601R104,,No best match available
927820100,,No best match available
14888U101,CPRX.O,
836301200,SAGD.PK,
411307200,,No best match available
92933E108,WSFGQ.PK,
136635109,CSIQ.O,
719427106,,No best match available
46137V316,,No best match available
46137V365,,No best match available
46137V324,,No best match available
46137V282,,No best match available
46137V340,,No best match available
46137V332,,No best match available
46137V274,,No best match available
46137V381,,No best match available
46137V373,,No best match available
90207B107,TURV.PK,
874227101,,No best match available
98959P877,ZNCh.V,
04744L106,ATHX.O,
M0854Q105,,No best match available
29089Q105,EBS,
38089V105,,No best match available
553793100,,No best match available
44109A105,,No best match available
46430K108,,No best match available
64118P109,NLST.PK,
78463X830,,No best match available
78463X822,,No best match available
92829N998,,No best match available
46430L106,,No best match available
46430M104,,No best match available
46430X100,,No best match available
46430U106,,No best match available
62948N104,,No best match available
921946406,,No best match available
21867N107,CDD_u.TO,
25537W108,DF.TO,
390528107,,No best match available
65337Y409,,No best match available
98145W208,,No best match available
92275P307,,No best match available
464288570,,No best match available
38199Z004,,No best match available
71711N100,PBSV.PK,
00768M202,AERO.PK,
N00985106,,No best match available
19248P106,FOF,
55336L102,MPMQ.PK^E19,
25158Y102,,No best match available
656811106,NOA.TO,
135038107,CE.V,
27986R101,,No best match available
408853109,HFBN.OB^G12,
97699G932,,No best match available
60040W105,ML.V,
75942N102,,No best match available
74344F106,,No best match available
027263102,AMLM.PK,
82935B202,,No best match available
27828N102,ETY,
908536105,,No best match available
58406P102,,No best match available
22284R101,,No best match available
400501102,OMAB.O,
00190T106,,No best match available
169398104,CHHE.PK,
55610N105,,No best match available
55610L109,,No best match available
21727R108,,No best match available
483709101,KNDI.O,
46137V472,,No best match available
46137V514,,No best match available
46137V449,,No best match available
46137V621,,No best match available
73935X179,,No best match available
45107J105,ICO.V,
45256Q108,IMTC.PK^D19,
45822R101,IGX.V,
93041P506,,No best match available
33733E708,,No best match available
64127R500,CUR.O,
14912Y202,CTT,
42279M107,,No best match available
00826A109,AFFY.PK,
12802T101,CDVIQ.PK,
65251F105,,No best match available
85771Q100,,No best match available
02208R106,AIMC.O,
049303100,,No best match available
14574X104,TAST.O,
45675Y104,III.O,
86825Q104,,No best match available
37250F105,,No best match available
401692108,,No best match available
73688F102,PTMN.O,
Y8565J101,,No best match available
585464100,MLCO.O,
89628E104,,No best match available
233153204,DCT^H18,
71956K100,,No best match available
37183T107,,No best match available
67423R108,,No best match available
035265107,,No best match available
435694104,HENC.PK,
46432L104,,No best match available
847560109,,No best match available
18383M704,,No best match available
46138J775,,No best match available
46137V159,,No best match available
18383M803,,No best match available
205859101,,No best match available
83066R107,,No best match available
008291106,,No best match available
G3704F110,,No best match available
41135V301,,No best match available
896724101,,No best match available
89366E100,,No best match available
73935X310,,No best match available
73935X294,,No best match available
78463X863,,No best match available
46137V308,,No best match available
33744R508,,No best match available
913788105,,No best match available
88907T303,TOGL.PK,
092508100,BTZ,
15643T305,CTN.V,
184499101,CLNE.O,
74316X101,PFIE.O,
71942R102,,No best match available
55352L101,MSBF.O,
68633D103,ORIT.O,
04393Y938,,No best match available
300504107,,No best match available
G68927105,PDNA.BE^B08,
85232E100,,No best match available
34551Q203,,No best match available
871043105,,No best match available
03525N109,,No best match available
008073108,AVAV.O,
M51363113,,No best match available
146772108,ECR.V,
16941J205,,No best match available
70086Y105,,No best match available
758338107,REED.O,
78116P101,RBYC.PK,
903415800,UWE.TO,
379443104,,No best match available
46140H601,,No best match available
46140H403,,No best match available
46140H502,,No best match available
46140H700,,No best match available
46140H205,,No best match available
46140H106,,No best match available
46140H304,,No best match available
88732J207,,No best match available
553859109,MVO,
492536107,KSSH.PK,
08661E201,,No best match available
08662A109,,No best match available
464288646,,No best match available
464288653,,No best match available
464288661,,No best match available
464288620,,No best match available
464288596,,No best match available
464288638,,No best match available
464288679,,No best match available
464288612,,No best match available
469871206,JADA.PK,
03349A200,,No best match available
05351B307,XX.V,
73158Q109,,No best match available
40867E107,,No best match available
78463X848,,No best match available
59318A100,,No best match available
58508M205,,No best match available
91059D100,UEEC.PK,
87163U103,SYD.V^H18,
42226E844,,No best match available
42226E406,,No best match available
42226E109,,No best match available
42226E836,,No best match available
42226E786,,No best match available
31308T100,,No best match available
92834B104,34V.BE^J12,
635309107,NCMI.O,
923359103,,No best match available
L3466T104,,No best match available
74348A210,,No best match available
74347R818,,No best match available
74348A376,,No best match available
74348A327,,No best match available
74347R842,,No best match available
74348A319,,No best match available
470751108,JAMN.PK,
83616T108,,No best match available
68375V105,,No best match available
00326L100,AOD,
361570104,GDL,
670699107,QQQX.O,
265026104,,No best match available
86800U104,SMCI.PK,
05366Y201,AVNW.O,
854722105,HRE.V,
78463X855,,No best match available
635309008,,No best match available
292218104,EIG,
40418F108,HF^G19,
90343C100,PRTS.O,
68401H104,,No best match available
34958B106,,No best match available
142363209,,No best match available
250669108,DGC.TO,
G3075P101,,No best match available
74347R719,,No best match available
74348A368,,No best match available
74348A525,,No best match available
74348A236,,No best match available
74348A228,,No best match available
74347B748,,No best match available
74347R776,,No best match available
74347R735,,No best match available
74347X633,,No best match available
74347R727,,No best match available
74347R693,,No best match available
74347G200,,No best match available
74347R669,,No best match available
74347R750,,No best match available
74347X625,,No best match available
74347R685,,No best match available
74347B722,,No best match available
74348A244,,No best match available
74347G101,,No best match available
74347B177,,No best match available
74347R768,,No best match available
74347R115,,No best match available
415858109,HROW.O,
12673A108,CYS^H18,
440694305,,No best match available
09070W105,BSHF.PK,
91349N108,,No best match available
18681B202,CMOh.V,
98949G102,ZGSI.PK,
M2196U109,,No best match available
92647F201,NI.CD,
135694107,,No best match available
794006106,,No best match available
87611X105,,No best match available
88575Y105,,No best match available
466090206,JASO.O^G18,
222083107,,No best match available
25278V103,,No best match available
004397105,ARAY.O,
031921109,,No best match available
28093Y930,,No best match available
893237107,,No best match available
89154K201,TLGN.PK,
45782D100,IPIX.PK,
185061108,,No best match available
46138W107,,No best match available
45841N107,IBKR.K,
20451M103,,No best match available
29667D104,ESSA.O,
35168Q106,,No best match available
705016103,PTSS.PK,
74993W939,,No best match available
33733E500,,No best match available
33733E401,,No best match available
46433V200,,No best match available
46432Y205,,No best match available
06759L103,BBDC.K,
824568109,UECN.PK,
78026P209,ROYE.PK,
682308101,,No best match available
46141D203,,No best match available
46141D104,,No best match available
430067108,,No best match available
743786105,,No best match available
89626T103,TMI.TO,
539573105,LBAS.PK,
89699W934,,No best match available
53045E105,LBYE.PK,
257559203,UFS,
12600U102,,No best match available
09064Y307,,No best match available
74348A384,,No best match available
87240R107,TFSL.O,
74348A624,,No best match available
10807Q700,BLIN.O,
74348A483,,No best match available
74348A293,,No best match available
74347R537,,No best match available
74347B771,,No best match available
74347R511,,No best match available
74347R495,,No best match available
74347R479,,No best match available
74347R529,,No best match available
74347B763,,No best match available
74347R487,,No best match available
53222J109,,No best match available
043176106,,No best match available
379890106,GLUU.O,
22675W107,CRE.V,
27829F108,EXG,
018829101,NIE,
97717W562,,No best match available
97717W588,,No best match available
97717W554,,No best match available
97717W547,,No best match available
97717W570,,No best match available
97717W596,,No best match available
1248XC101,TCFh.V^E16,
81370J100,,No best match available
60870N209,MOL.V,
146102108,CARE.O,
965424104,WMKh.V,
695459107,,No best match available
675227102,,No best match available
46137V837,,No best match available
18383Q200,,No best match available
18383Q101,,No best match available
76680V108,REI,
59751U100,MD.V,
686164302,OREXQ.PK^F19,
723464301,,No best match available
089750509,,No best match available
46431C105,,No best match available
46430W102,,No best match available
46431F108,,No best match available
46527C100,ITP,
069744100,,No best match available
752182105,,No best match available
865646103,SUMR.O,
922042775,,No best match available
80007P869,SD,
983982208,,No best match available
42226E885,,No best match available
42226E307,,No best match available
42226E869,,No best match available
42226E760,,No best match available
42226E851,,No best match available
42226E802,,No best match available
42226E877,,No best match available
42226E604,,No best match available
42226E208,,No best match available
16411Q101,CQP,
98959T101,,No best match available
58439W108,,No best match available
11133T103,BR,
13201A107,ABCD.O^L18,
25531P109,,No best match available
89025E103,,No best match available
464288588,,No best match available
45569C101,IPUB.PK,
29759R102,,No best match available
21727L101,,No best match available
76123U105,RGDXQ.PK,
666107107,,No best match available
68193Y935,,No best match available
058785106,,No best match available
917001109,,No best match available
G4095J109,,No best match available
14160J105,,No best match available
007867104,,No best match available
33735C106,,No best match available
20823Y108,,No best match available
25253X207,DMAC.O,
30065X106,EE.TO^E15,
80349A208,SAR,
78463X400,,No best match available
78463X301,,No best match available
78463X806,,No best match available
78463X608,,No best match available
78463X509,,No best match available
02078A100,,No best match available
78463X707,,No best match available
31931U102,FRBA.O,
40163P103,GXI.TO^C16,
83172F203,HEAT.PK,
32093Y007,,No best match available
102102100,,No best match available
815802103,SGZ.V,
565851102,,No best match available
802501106,,No best match available
94987C103,EOD,
92912J102,IAE,
67090X107,JCE,
98951C106,,No best match available
09255D104,,No best match available
M87095119,,No best match available
245535109,,No best match available
Y11082206,,No best match available
464288687,,No best match available
18383M837,,No best match available
18383M779,,No best match available
18383M852,,No best match available
18383M738,,No best match available
46137Y401,,No best match available
18383M811,,No best match available
18383M845,,No best match available
09260D107,BX,
42226E703,,No best match available
42226E810,,No best match available
61022P100,TYPE.O,
17243V102,CNK,
12477X106,CAI,
641252101,,No best match available
87874R100,TTGT.O,
09064M204,,No best match available
74973U101,,No best match available
226378107,,No best match available
890088107,,No best match available
433538105,,No best match available
825211105,,No best match available
82859P104,,No best match available
921937793,,No best match available
921937835,,No best match available
921937827,,No best match available
921937819,,No best match available
46431G205,,No best match available
464288513,,No best match available
28099Y934,,No best match available
15117P102,CBMG.O,
683750103,OPNT.O,
58403T107,MEDH.PK,
00767C106,AVOI.PK,
127608107,,No best match available
90390R109,,No best match available
02145W309,,No best match available
372476101,,No best match available
912318300,UNG,
42226E505,,No best match available
112216106,LCS.TO,
55376A883,XMFa.TO,
708062104,PNNT.O,
26144M400,DRWIQ.PK,
74972L102,,No best match available
14964U108,CAVM.O^G18,
90350U100,USRM.PK,
45784P101,PODD.O,
66987P201,NBY,
71646R309,,No best match available
617477104,EDD,
76340N207,,No best match available
90290L103,,No best match available
46629U107,JMP,
292764107,,No best match available
45667G103,INFN.O,
29268E105,,No best match available
Y64202123,,No best match available
92644D100,,No best match available
G2554F113,,No best match available
H84989104,,No best match available
18383M795,,No best match available
78463X889,,No best match available
18383M829,,No best match available
78463X871,,No best match available
00302L108,AWP,
67090N109,,No best match available
14964W104,CVAT.PK,
42326R109,,No best match available
82968A105,,No best match available
85528P108,,No best match available
G50871105,,No best match available
12499P008,,No best match available
08171T102,BNCL.O^C19,
92189F403,,No best match available
65542W206,NORNQ.PK,
00767E102,,No best match available
54619P104,,No best match available
53261M104,LLNW.O,
004854204,ATV,
G73031109,,No best match available
464288554,,No best match available
46435G342,,No best match available
464288521,,No best match available
464288562,,No best match available
464288547,,No best match available
171077407,CDXC.O,
812218105,SMY.V,
254709108,DFS,
65699F931,,No best match available
92189F502,,No best match available
06739F184,EROTF.PK,
71647C103,PCGh.V^F17,
11138T108,,No best match available
448629105,HYCT.PK,
33735K108,,No best match available
33734G108,,No best match available
33734X119,,No best match available
33733F101,,No best match available
33734X176,,No best match available
33734X135,,No best match available
33734X184,,No best match available
33734Y109,,No best match available
33733C108,,No best match available
33734X168,,No best match available
33734X150,,No best match available
33734X127,,No best match available
33734X143,,No best match available
33734X101,,No best match available
33735J101,,No best match available
33734K109,,No best match available
33735B108,,No best match available
33733G109,FGB,
657280202,NAR.V,
73044W104,PTK.V,
74532B107,,No best match available
83421A104,,No best match available
33733A102,,No best match available
33733B100,,No best match available
33733E807,,No best match available
736401100,PAX.CD^I16,
46138E263,,No best match available
M8484K109,,No best match available
025576109,,No best match available
45822W308,,No best match available
650149107,NWYU.PK,
16942X302,CSUNY.PK,
46433J108,,No best match available
21727U101,,No best match available
24379J200,DEER.PK,
N31010106,,No best match available
65500B103,HLTH.K,
784732109,SBN.TO,
198851107,,No best match available
26959U406,,No best match available
46428G200,,No best match available
46430F109,,No best match available
46430R202,,No best match available
50183L107,,No best match available
G93205113,,No best match available
695779108,PONY.TO,
716438106,,No best match available
87288V101,TSSI.PK,
007639107,,No best match available
092524107,BGY,
260537105,,No best match available
74964Q101,,No best match available
723653101,HNW,
30049B105,,No best match available
232429100,,No best match available
05550X100,,No best match available
257055202,DOMK.PK^F18,
35901T102,FRO_u.V,
91329X100,,No best match available
78464A672,,No best match available
78468R663,,No best match available
78464A649,,No best match available
78464A656,,No best match available
78464A664,,No best match available
709762108,PEO.V,
861923100,,No best match available
458483203,,No best match available
42226E794,,No best match available
46430V104,,No best match available
97717W331,,No best match available
48723P109,,No best match available
827458100,SVB.TO,
361793201,GLG.TO,
92554T103,VIAP.PK,
92143B100,VONE.V,
98584B202,YGEHY.PK,
03753Q105,,No best match available
296651102,,No best match available
00165C104,AMC,
88822Q103,TIPT.O,
36246K103,GRX,
31944C107,FISB.PK,
052660107,,No best match available
64111N101,,No best match available
46433D101,,No best match available
08661C106,,No best match available
08661W102,,No best match available
766883102,RINO.PK,
73936T409,,No best match available
46138E214,,No best match available
46138E651,,No best match available
73936T102,,No best match available
46138G847,,No best match available
96169B100,,No best match available
16941X105,,No best match available
81733D105,PME.TO,
464288448,,No best match available
09746Y105,,No best match available
007556103,,No best match available
89621T108,TRL.TO,
125599100,,No best match available
31862W101,,No best match available
08663H103,,No best match available
08662R102,,No best match available
46428Y102,,No best match available
46429U109,,No best match available
16944H107,,No best match available
78131P201,,No best match available
G21225100,,No best match available
78463X798,,No best match available
G39245108,,No best match available
66986N108,,No best match available
84756N109,,No best match available
23767P109,,No best match available
74346Y103,PRO,
46138E750,,No best match available
46138E743,,No best match available
73936T755,,No best match available
73936T698,,No best match available
18383M787,,No best match available
46138E271,,No best match available
87164U201,SYN,
40053G106,,No best match available
37948T103,,No best match available
08661H105,,No best match available
08660K109,,No best match available
88079F107,TGO.TO,
20564W105,SCOR.O,
849415203,,No best match available
092533108,BKCC.O,
18383Q309,,No best match available
18383Q408,,No best match available
46138E305,,No best match available
12811L107,CHW.O,
246060107,DEX,
23317C103,,No best match available
23339T209,,No best match available
55312N106,,No best match available
67073G105,JTD,
46132R104,VTA,
92241M107,,No best match available
34961F102,FGE.TO,
64151V203,VDOh.V,
747663508,,No best match available
G21125102,,No best match available
21750U101,CMMC.TO,
71922F102,PHOS.PK,
03077A109,,No best match available
03077A505,,No best match available
03077A307,,No best match available
03077A406,,No best match available
03077A208,,No best match available
17193Z004,,No best match available
371847203,,No best match available
97424P108,WLOLQ.PK,
98400P104,XCRP.PK,
18383M761,,No best match available
74732T106,QNTO.PK,
868650102,,No best match available
04624G102,,No best match available
42333M101,HLIX.PK,
09265M102,,No best match available
92827P102,VRTU.O,
836091108,,No best match available
403641103,GCT.TO,
092382100,BLN.V,
53261T109,,No best match available
574795100,MASI.O,
42833L108,HGGGQ.PK,
00950V101,,No best match available
20605P101,CXO,
219636107,COP.TO,
82967M100,SBM.V,
36191U106,,No best match available
761565506,,No best match available
18383Q705,,No best match available
46138G854,,No best match available
228432209,CWOI.PK^H12,
42226E828,,No best match available
97717W315,,No best match available
78075G100,,No best match available
88630M104,,No best match available
71714F104,,No best match available
92927K102,WBC,
88103M102,TZR.V,
04685W103,ATHN.O^B19,
21727V109,,No best match available
92834E306,VGD.V,
23331S100,DHX,
29255V201,,No best match available
09625U109,BKEP.O,
217712207,,No best match available
68557K109,,No best match available
01973R101,ALSN.K,
593057102,MXSG.PK,
98884U108,ZAGG.O,
783727407,,No best match available
829392109,,No best match available
25659P402,,No best match available
G3922B107,,No best match available
63009A106,,No best match available
09064N103,BTI.V,
G9319H102,,No best match available
98607B106,,No best match available
M97613109,,No best match available
71372U104,,No best match available
921943858,,No best match available
550021109,LULU.O,
40167F101,GOF,
19248M103,INB,
27829G106,ETJ,
18383Q887,,No best match available
112497102,,No best match available
98880A106,ZTRh.V,
11838Y100,,No best match available
16943B200,,No best match available
76721A204,RYO.V,
171326101,CHUM.PK^B19,
00509R106,,No best match available
23248L107,,No best match available
16946V104,CWEY.PK^C12,
464288422,,No best match available
05580M108,RILY.O,
125749101,CMGO.PK,
82937B101,OILY.PK,
58733R102,MELI.O,
Y6728Q202,,No best match available
928563402,VMW,
G25343107,,No best match available
781302104,RUG.V,
730507100,,No best match available
87234Y209,XTD.TO,
26852W103,,No best match available
98417Q103,XAG.V,
05476W103,AZAh.V^E17,
22754T108,,No best match available
230770109,CPIX.O,
539728105,,No best match available
929352102,,No best match available
24802R506,,No best match available
867781205,SBFM.PK,
48668F108,,No best match available
21925C200,,No best match available
64156Y103,,No best match available
34961A103,FTM.V,
80013R206,SSL.TO,
00258J107,,No best match available
64051M709,NEON.O,
602496101,MDXG.PK,
92189F601,,No best match available
886031103,THTI.PK,
30289C102,FSBC.O,
98959W104,Z.V,
55278P103,MBN.TO,
71647F106,PTCP.PK,
92849E101,VSI,
570655100,,No best match available
02522U207,,No best match available
20824F108,,No best match available
