Company name,CIK,Bankruptcy,Bankruptcy chapter,Form type,Date,URL
Alliance Bancorp Trust 2007-OA1,0001400428,True,7,8-K,07/19/2007,https://www.sec.gov/Archives/edgar/data/1400428/000105640407002408/0001056404-07-002408.txt
ALLIANCE BANCSHARES CALIFORNIA,0001140472,False,-1,8-K,02/12/2009,https://www.sec.gov/Archives/edgar/data/1140472/000089256909000073/0000892569-09-000073.txt
"ALLIANCE BIOENERGY PLUS, INC.",0001549145,False,-1,8-K,09/19/2019,https://www.sec.gov/Archives/edgar/data/1549145/000149315219014286/0001493152-19-014286.txt
"ALLIANCE BIOENERGY PLUS, INC.",0001549145,True,11,8-K,10/23/2018,https://www.sec.gov/Archives/edgar/data/1549145/000149315218014813/0001493152-18-014813.txt
ALLIED HOLDINGS INC,0000909950,True,11,8-K,05/24/2007,https://www.sec.gov/Archives/edgar/data/909950/000095014407005170/0000950144-07-005170.txt
ALLIED HOLDINGS INC,0000909950,True,11,8-K,08/01/2005,https://www.sec.gov/Archives/edgar/data/909950/000095014405007988/0000950144-05-007988.txt
Allied Nevada Gold Corp.,0001376610,True,11,8-K,03/10/2015,https://www.sec.gov/Archives/edgar/data/1376610/000119312515084300/0001193125-15-084300.txt
"Alpha Natural Resources, Inc.",0001301063,True,11,8-K,07/27/2016,https://www.sec.gov/Archives/edgar/data/1301063/000119312516660260/0001193125-16-660260.txt
"Alpha Natural Resources, Inc.",0001301063,True,11,8-K,07/18/2016,https://www.sec.gov/Archives/edgar/data/1301063/000119312516650114/0001193125-16-650114.txt
ALPHATRADE COM,0001076462,True,11,8-K,03/28/2011,https://www.sec.gov/Archives/edgar/data/1076462/000125529411000152/0001255294-11-000152.txt
"Alta Mesa Holdings, LP",0001518403,True,11,8-K,09/12/2019,https://www.sec.gov/Archives/edgar/data/1518403/000151840319000041/0001518403-19-000041.txt
"Alta Mesa Resources, Inc. /DE",0001690769,True,11,8-K,09/17/2019,https://www.sec.gov/Archives/edgar/data/1690769/000169076919000068/0001690769-19-000068.txt
"Alta Mesa Resources, Inc. /DE",0001690769,True,11,8-K,09/12/2019,https://www.sec.gov/Archives/edgar/data/1690769/000169076919000066/0001690769-19-000066.txt
ALTAIR NANOTECHNOLOGIES INC,0001016546,False,-1,8-K,09/24/2008,https://www.sec.gov/Archives/edgar/data/1016546/000101968708004271/0001019687-08-004271.txt
ALTAIR NANOTECHNOLOGIES INC,0001016546,False,-1,8-K,09/05/2008,https://www.sec.gov/Archives/edgar/data/1016546/000101968708004057/0001019687-08-004057.txt
Altus Pharmaceuticals Inc.,0001340744,True,7,8-K,11/12/2009,https://www.sec.gov/Archives/edgar/data/1340744/000129993309004508/0001299933-09-004508.txt
AMARILLO BIOSCIENCES INC,0001014763,False,-1,8-K,02/18/2015,https://www.sec.gov/Archives/edgar/data/1014763/000101476315000003/0001014763-15-000003.txt
AMARILLO BIOSCIENCES INC,0001014763,False,-1,8-K,01/28/2015,https://www.sec.gov/Archives/edgar/data/1014763/000101476315000002/0001014763-15-000002.txt
AMARILLO BIOSCIENCES INC,0001014763,False,-1,8-K,11/17/2014,https://www.sec.gov/Archives/edgar/data/1014763/000101476314000018/0001014763-14-000018.txt
AMARILLO BIOSCIENCES INC,0001014763,False,-1,8-K,05/27/2014,https://www.sec.gov/Archives/edgar/data/1014763/000101476314000013/0001014763-14-000013.txt
AMARILLO BIOSCIENCES INC,0001014763,True,11,8-K,11/01/2013,https://www.sec.gov/Archives/edgar/data/1014763/000101476313000007/0001014763-13-000007.txt
AMBAC FINANCIAL GROUP INC,0000874501,True,11,8-K,03/20/2012,https://www.sec.gov/Archives/edgar/data/874501/000119312512122766/0001193125-12-122766.txt
AMBAC FINANCIAL GROUP INC,0000874501,True,11,8-K,11/10/2010,https://www.sec.gov/Archives/edgar/data/874501/000119312510256201/0001193125-10-256201.txt
AMBASSADORS INTERNATIONAL INC,0000946842,True,7,8-K,03/20/2012,https://www.sec.gov/Archives/edgar/data/946842/000089968112000115/0000899681-12-000115.txt
AMBASSADORS INTERNATIONAL INC,0000946842,True,11,8-K,04/07/2011,https://www.sec.gov/Archives/edgar/data/946842/000089968111000129/0000899681-11-000129.txt
AMBER RESOURCES CO OF COLORADO,0000276750,True,11,8-K,12/10/2012,https://www.sec.gov/Archives/edgar/data/276750/000119312512496296/0001193125-12-496296.txt
AMBER RESOURCES CO OF COLORADO,0000276750,True,11,8-K,12/22/2011,https://www.sec.gov/Archives/edgar/data/276750/000126327911000073/0001263279-11-000073.txt
"AMBICOM HOLDINGS, INC",0001444310,False,-1,8-K,05/05/2017,https://www.sec.gov/Archives/edgar/data/1444310/000149315217004797/0001493152-17-004797.txt
AMBIENT CORP /NY,0001047919,True,11,8-K,07/29/2014,https://www.sec.gov/Archives/edgar/data/1047919/000135448814003778/0001354488-14-003778.txt
Ambient Water Corp,0001394872,True,11,8-K,02/20/2018,https://www.sec.gov/Archives/edgar/data/1394872/000105291818000037/0001052918-18-000037.txt
AMCAST INDUSTRIAL CORP,0000027425,True,11,8-K,08/04/2005,https://www.sec.gov/Archives/edgar/data/27425/000095015205006530/0000950152-05-006530.txt
AMCAST INDUSTRIAL CORP,0000027425,True,11,8-K,05/09/2005,https://www.sec.gov/Archives/edgar/data/27425/000095015205004168/0000950152-05-004168.txt
AMCAST INDUSTRIAL CORP,0000027425,True,11,8-K,12/21/2004,https://www.sec.gov/Archives/edgar/data/27425/000095015204009102/0000950152-04-009102.txt
AMCAST INDUSTRIAL CORP,0000027425,True,11,8-K,12/06/2004,https://www.sec.gov/Archives/edgar/data/27425/000095015204008783/0000950152-04-008783.txt
AMCORE FINANCIAL INC,0000714756,True,11,8-K,08/20/2010,https://www.sec.gov/Archives/edgar/data/714756/000134100410001426/0001341004-10-001426.txt
AMERICA CAPITAL CORP,0000004707,True,11,8-K,02/09/2009,https://www.sec.gov/Archives/edgar/data/4707/000101376209000216/0001013762-09-000216.txt
AMERICA CAPITAL CORP,0000004707,True,11,8-K,07/14/2006,https://www.sec.gov/Archives/edgar/data/4707/000095014406006664/0000950144-06-006664.txt
"America Greener Technologies, Inc.",0001403433,True,11,8-K,04/24/2017,https://www.sec.gov/Archives/edgar/data/1403433/000165495417003583/0001654954-17-003583.txt
AMERICA ONLINE LATIN AMERICA INC,0001100395,True,11,8-K,06/24/2005,https://www.sec.gov/Archives/edgar/data/1100395/000129993305003102/0001299933-05-003102.txt
"AMERICA WEST RESOURCES, INC.",0000867687,True,11,8-K,02/07/2013,https://www.sec.gov/Archives/edgar/data/867687/000107878213000259/0001078782-13-000259.txt
AMERICAN AIRLINES INC,0000006201,True,11,8-K,10/23/2013,https://www.sec.gov/Archives/edgar/data/4515/000119312513408263/0001193125-13-408263.txt
AMERICAN AIRLINES INC,0000004515,True,11,8-K,11/29/2011,https://www.sec.gov/Archives/edgar/data/4515/000090951811000394/0000909518-11-000394.txt
"AMERICAN APPAREL, INC",0001336545,True,11,8-K,10/08/2015,https://www.sec.gov/Archives/edgar/data/1336545/000133654515000135/0001336545-15-000135.txt
AMERICAN BANKNOTE CORP,0000051124,False,-1,8-K,04/14/2005,https://www.sec.gov/Archives/edgar/data/51124/000101968705001025/0001019687-05-001025.txt
AMERICAN BANKNOTE CORP,0000051124,True,11,8-K,01/21/2005,https://www.sec.gov/Archives/edgar/data/51124/000101968705000130/0001019687-05-000130.txt
AMERICAN BUSINESS CORP,0000820408,False,-1,8-K,11/02/2007,https://www.sec.gov/Archives/edgar/data/820408/000135497607000004/0001354976-07-000004.txt
AMERICAN BUSINESS FINANCIAL SERVICES INC /DE/,0000772349,True,11,8-K,01/27/2005,https://www.sec.gov/Archives/edgar/data/772349/000118811205000139/0001188112-05-000139.txt
AMERICAN EAGLE ENERGY Corp,0001282613,True,11,8-K,12/01/2015,https://www.sec.gov/Archives/edgar/data/1282613/000114420415068859/0001144204-15-068859.txt
AMERICAN EAGLE ENERGY Corp,0001282613,True,11,8-K,11/12/2015,https://www.sec.gov/Archives/edgar/data/1282613/000114420415064860/0001144204-15-064860.txt
