,Instrument,Stock Price,Cash and Short Term Investments,Market Value for Company,CIK Number,Inventories (CF),Price,"Working Capital, Period over Period Average (Pvt)",Retained Earnings (Accumulated Deficit),"Working Capital, Period over Period % Change (Pvt)",Bankruptcy Filing Date
116,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
117,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
118,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
119,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
120,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
121,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
122,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
123,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
124,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
125,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
126,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
127,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
128,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
129,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
130,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
131,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
132,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
133,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
134,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
135,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
136,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
137,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
138,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
139,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
140,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
141,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
142,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
143,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
144,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
145,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
146,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
147,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
148,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
149,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
150,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
151,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
152,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
153,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
154,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
155,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
156,1011308,,31800000.0,,1011308.0,8800000.0,,,239700000.0,,
157,1011308,,31800000.0,,,8800000.0,,,239700000.0,,
158,1011308,,31800000.0,,,8800000.0,,,239700000.0,,
159,1011308,,31800000.0,,,8800000.0,,,239700000.0,,
160,1011308,,14300000.0,,,-79400000.0,,,300100000.0,,
161,1011308,,14300000.0,,,-79400000.0,,,300100000.0,,
162,1011308,,14300000.0,,,-79400000.0,,,300100000.0,,
163,1011308,,14300000.0,,,-79400000.0,,,300100000.0,,
164,1011308,,12500000.0,,,-22500000.0,,,246800000.0,,
165,1011308,,12500000.0,,,-22500000.0,,,246800000.0,,
166,1011308,,12500000.0,,,-22500000.0,,,246800000.0,,
167,1011308,,12500000.0,,,-22500000.0,,,246800000.0,,
168,1011308,,13400000.0,,,22300000.0,,,143300000.0,,
169,1011308,,13400000.0,,,22300000.0,,,143300000.0,,
170,1011308,,13400000.0,,,22300000.0,,,143300000.0,,
171,1011308,,13400000.0,,,22300000.0,,,143300000.0,,
172,1011308,,1100000.0,,,-6600000.0,,,88900000.0,,
173,1011308,,1100000.0,,,-6600000.0,,,88900000.0,,
174,1011308,,1100000.0,,,-6600000.0,,,88900000.0,,
175,1011308,,1100000.0,,,-6600000.0,,,88900000.0,,
176,1011308,,1100000.0,,,-6600000.0,,,88900000.0,,
177,1011308,,1100000.0,,,-6600000.0,,,88900000.0,,
178,1011308,,189600000.0,,,72000000.0,,,18900000.0,,
179,1011308,,189600000.0,,,72000000.0,,,18900000.0,,
180,1011308,,196100000.0,,,9800000.0,,,43300000.0,,
181,1011308,,196100000.0,,,9800000.0,,,43300000.0,,
182,1011308,,196100000.0,,,9800000.0,,,43300000.0,,
183,1011308,,196100000.0,,,9800000.0,,,43300000.0,,
184,1011308,,101300000.0,,,-2900000.0,,,88600000.0,,
185,1011308,,101300000.0,,,-2900000.0,,,88600000.0,,
186,1011308,,101300000.0,,,-2900000.0,,,88600000.0,,
187,1011308,,101300000.0,,,-2900000.0,,,88600000.0,,
188,1011308,,53800000.0,,,5400000.0,,,51700000.0,,
189,1011308,,53800000.0,,,5400000.0,,,51700000.0,,
190,1011308,,53800000.0,,,5400000.0,,,51700000.0,,
191,1011308,,53800000.0,,,5400000.0,,,51700000.0,,
192,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
193,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
194,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
195,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
196,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
197,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
198,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
199,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
200,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
201,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
202,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
203,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
204,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
205,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
206,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
207,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
208,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
209,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
210,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
211,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
212,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
213,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
214,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
215,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
216,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
217,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
218,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
219,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
220,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
221,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
222,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
223,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
224,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
225,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
226,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
227,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
228,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
229,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
230,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
231,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
232,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
233,1011308,,56600000.0,,,86700000.0,,,84100000.0,,
234,1048268,,2931000.0,,1048268.0,-472000.0,,,58853000.0,,
235,1048268,,2931000.0,,,-472000.0,,,58853000.0,,
236,1048268,,2931000.0,,,-472000.0,,,58853000.0,,
237,1048268,,770000.0,,,-2900000.0,,,80009000.0,,
238,1048268,,770000.0,,,-2900000.0,,,80009000.0,,
239,1048268,,770000.0,,,-2900000.0,,,80009000.0,,
240,1048268,,770000.0,,,-2900000.0,,,80009000.0,,
241,1048268,,3475000.0,,,-4979000.0,,,108719000.0,,
242,1048268,,3475000.0,,,-4979000.0,,,108719000.0,,
243,1048268,,3475000.0,,,-4979000.0,,,108719000.0,,
244,1048268,,3475000.0,,,-4979000.0,,,108719000.0,,
245,1048268,,32779000.0,,,-2770000.0,,,-164632000.0,,
246,1048268,,32779000.0,,,-2770000.0,,,-164632000.0,,
247,1048268,,32779000.0,,,-2770000.0,,,-164632000.0,,
248,1048268,,32779000.0,,,-2770000.0,,,-164632000.0,,
249,1048268,,40201000.0,,,2824000.0,,,-146852000.0,,
250,1048268,,40201000.0,,,2824000.0,,,-146852000.0,,
251,1048268,,40201000.0,,,2824000.0,,,-146852000.0,,
252,1048268,,40201000.0,,,2824000.0,,,-146852000.0,,
253,1048268,,22232000.0,,,-2407000.0,,,-271716000.0,,
254,1048268,,22232000.0,,,-2407000.0,,,-271716000.0,,
255,1048268,,22232000.0,,,-2407000.0,,,-271716000.0,,
256,1048268,,22232000.0,,,-2407000.0,,,-271716000.0,,
257,1048268,,28349000.0,,,-4046000.0,,,-401346000.0,,
258,1048268,,28349000.0,,,-4046000.0,,,-401346000.0,,
259,1048268,,28349000.0,,,-4046000.0,,,-401346000.0,,
260,1048268,,28349000.0,,,-4046000.0,,,-401346000.0,,
261,1048268,,28166000.0,,,-5111000.0,,,-8171000.0,,
262,1048268,,28166000.0,,,-5111000.0,,,-8171000.0,,
263,1048268,,28166000.0,,,-5111000.0,,,-8171000.0,,
264,1048268,,28166000.0,,,-5111000.0,,,-8171000.0,,
265,1048268,,69676000.0,,,10598000.0,,,-12583000.0,,
266,1048268,,69676000.0,,,10598000.0,,,-12583000.0,,
267,1048268,,69676000.0,,,10598000.0,,,-12583000.0,,
268,1048268,,69676000.0,,,10598000.0,,,-12583000.0,,
269,1048268,,64709000.0,,,2404000.0,,,-12351000.0,,
270,1048268,,64709000.0,,,2404000.0,,,-12351000.0,,
271,1048268,,64709000.0,,,2404000.0,,,-12351000.0,,
272,1048268,,64709000.0,,,2404000.0,,,-12351000.0,,
273,1048268,,64174000.0,,,2701000.0,,,-24171000.0,,
274,1048268,,64174000.0,,,2701000.0,,,-24171000.0,,
275,1048268,,64174000.0,,,2701000.0,,,-24171000.0,,
276,1048268,,64174000.0,,,2701000.0,,,-24171000.0,,
277,1048268,,32924000.0,,,-2642000.0,,,-56698000.0,,
278,1048268,,32924000.0,,,-2642000.0,,,-56698000.0,,
279,1048268,,32924000.0,,,-2642000.0,,,-56698000.0,,
280,1048268,,32924000.0,,,-2642000.0,,,-56698000.0,,
281,1048268,,35577000.0,,,-537000.0,,,-94520000.0,,
282,1048268,,35577000.0,,,-537000.0,,,-94520000.0,,
283,1048268,,35577000.0,,,-537000.0,,,-94520000.0,,
284,1048268,,35577000.0,,,-537000.0,,,-94520000.0,,
285,1048268,,18729000.0,,,-6698000.0,,,-106322000.0,,
286,1048268,,18729000.0,,,-6698000.0,,,-106322000.0,,
287,1048268,,18729000.0,,,-6698000.0,,,-106322000.0,,
288,1048268,,18729000.0,,,-6698000.0,,,-106322000.0,,
289,1048268,,20757000.0,,,2523000.0,,,-109895000.0,,
290,1048268,,20757000.0,,,2523000.0,,,-109895000.0,,
291,1048268,,20757000.0,,,2523000.0,,,-109895000.0,,
292,1048268,,20757000.0,,,2523000.0,,,-109895000.0,,
293,1048268,,47342000.0,,,3788000.0,,,-104571000.0,,
294,1048268,,47342000.0,,,3788000.0,,,-104571000.0,,
295,1048268,,47342000.0,,,3788000.0,,,-104571000.0,,
296,1048268,,47342000.0,,,3788000.0,,,-104571000.0,,
297,1048268,,49360000.0,,,2526000.0,,,-88033000.0,,
298,1048268,,49360000.0,,,2526000.0,,,-88033000.0,,
299,1048268,,49360000.0,,,2526000.0,,,-88033000.0,,
300,1048268,,49360000.0,,,2526000.0,,,-88033000.0,,
301,1048268,,32961000.0,,,3897000.0,,,32745000.0,,
302,1048268,,32961000.0,,,3897000.0,,,32745000.0,,
303,1048268,,32961000.0,,,3897000.0,,,32745000.0,,
304,1048268,,32961000.0,,,3897000.0,,,32745000.0,,
305,1048268,,28290000.0,,,-1856000.0,,,46427000.0,,
306,1048268,,28290000.0,,,-1856000.0,,,46427000.0,,
307,1048268,,28290000.0,,,-1856000.0,,,46427000.0,,
308,1048268,,28290000.0,,,-1856000.0,,,46427000.0,,
309,1048268,,26247000.0,,,-3970000.0,,,32314000.0,,
310,1048268,,26247000.0,,,-3970000.0,,,32314000.0,,
311,1048268,,26247000.0,,,-3970000.0,,,32314000.0,,
312,1329184,,,,1329184.0,,,,,,
313,804154,,1073000.0,,804154.0,,,,-43167000.0,,
314,804154,,38000.0,,,,,,-47760000.0,,
315,804154,,38000.0,,,,,,-47760000.0,,
316,804154,,38000.0,,,,,,-47760000.0,,
317,804154,,38000.0,,,,,,-47760000.0,,
318,804154,,52000.0,,,,,,-51263000.0,,
319,804154,,52000.0,,,,,,-51263000.0,,
320,804154,,60000.0,,,49000.0,,,-53811000.0,,
321,804154,,60000.0,,,49000.0,,,-53811000.0,,
322,804154,,60000.0,,,49000.0,,,-53811000.0,,
323,804154,,60000.0,,,49000.0,,,-53811000.0,,
324,804154,,60000.0,,,49000.0,,,-53811000.0,,
325,804154,,165000.0,,,-30000.0,,,-27388000.0,,
326,804154,,165000.0,,,-30000.0,,,-27388000.0,,
327,804154,,165000.0,,,-30000.0,,,-27388000.0,,
328,804154,,165000.0,,,-30000.0,,,-27388000.0,,
329,804154,,165000.0,,,-30000.0,,,-27388000.0,,
330,804154,,127000.0,,,29000.0,,,-37579000.0,,
331,804154,,127000.0,,,29000.0,,,-37579000.0,,
332,804154,,127000.0,,,29000.0,,,-37579000.0,,
333,804154,,127000.0,,,29000.0,,,-37579000.0,,
334,804154,,240000.0,,,-25000.0,,,-75797000.0,,
335,804154,,240000.0,,,-25000.0,,,-75797000.0,,
336,804154,,240000.0,,,-25000.0,,,-75797000.0,,
337,804154,,240000.0,,,-25000.0,,,-75797000.0,,
338,804154,,46000.0,,,-469000.0,,,-86379000.0,,
339,804154,,46000.0,,,-469000.0,,,-86379000.0,,
340,804154,,46000.0,,,-469000.0,,,-86379000.0,,
341,804154,,46000.0,,,-469000.0,,,-86379000.0,,
342,804154,,46000.0,,,-469000.0,,,-86379000.0,,
343,804154,,46000.0,,,-469000.0,,,-86379000.0,,
344,804154,,46000.0,,,-469000.0,,,-86379000.0,,
345,804154,,1976000.0,,,-1186000.0,,,-106668000.0,,
346,804154,,4458000.0,,,-1158000.0,,,-131059000.0,,
347,804154,,4458000.0,,,-1158000.0,,,-131059000.0,,
348,804154,,4458000.0,,,-1158000.0,,,-131059000.0,,
349,804154,,4458000.0,,,-1158000.0,,,-131059000.0,,
350,804154,,792000.0,,,697000.0,,,-137473000.0,,
351,804154,,792000.0,,,697000.0,,,-137473000.0,,
352,804154,,792000.0,,,697000.0,,,-137473000.0,,
353,804154,,792000.0,,,697000.0,,,-137473000.0,,
354,804154,,1181000.0,,,823000.0,,,-147983000.0,,
355,804154,,1181000.0,,,823000.0,,,-147983000.0,,
356,804154,,1181000.0,,,823000.0,,,-147983000.0,,
