,Instrument,Market Capitalisation,Instrument Is Active Flag,Company Common Name,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)",Total Current Assets,Net Debt Incl. Pref.Stock & Min.Interest,"Net Income/Starting Line, Cumulative",Delisted Quote Flag,Tangible Book Value - Insurance,Pricing Volatility
98,902281,,,,,86663000.0,2427000.0,-6372000.0,,42563000.0,
99,902281,,,,,86663000.0,2427000.0,-6372000.0,,42563000.0,
100,902281,,,,,72116000.0,-14016000.0,-12393000.0,,30333000.0,
101,902281,,,,,72116000.0,-14016000.0,-12393000.0,,30333000.0,
102,902281,,,,,72116000.0,-14016000.0,-12393000.0,,30333000.0,
103,902281,,,,,72116000.0,-14016000.0,-12393000.0,,30333000.0,
104,902281,,,,,50928000.0,-8963000.0,-34030000.0,,31240000.0,
105,902281,,,,,50928000.0,-8963000.0,-34030000.0,,31240000.0,
106,902281,,,,,50928000.0,-8963000.0,-34030000.0,,31240000.0,
107,902281,,,,,55381000.0,549000.0,-18783000.0,,13561000.0,
108,902281,,,,,55381000.0,549000.0,-18783000.0,,13561000.0,
109,902281,,,,,55381000.0,549000.0,-18783000.0,,13561000.0,
110,902281,,,,,55381000.0,549000.0,-18783000.0,,13561000.0,
111,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
112,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
113,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
114,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
115,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
116,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
117,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
118,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
119,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
120,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
121,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
122,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
123,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
124,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
125,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
126,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
127,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
128,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
129,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
130,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
131,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
132,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
133,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
134,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
135,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
136,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
137,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
138,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
139,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
140,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
141,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
142,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
143,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
144,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
145,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
146,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
147,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
148,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
149,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
150,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
151,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
152,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
153,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
154,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
155,902281,,,,,35889000.0,7069000.0,-15933000.0,,1976000.0,
156,1011308,,0.0,Footstar Inc,,380800000.0,42500000.0,65800000.0,1.0,235200000.0,
157,1011308,,,,,380800000.0,42500000.0,65800000.0,,235200000.0,
158,1011308,,,,,380800000.0,42500000.0,65800000.0,,235200000.0,
159,1011308,,,,,380800000.0,42500000.0,65800000.0,,235200000.0,
160,1011308,,,,,457200000.0,141300000.0,44400000.0,,303600000.0,
161,1011308,,,,,457200000.0,141300000.0,44400000.0,,303600000.0,
162,1011308,,,,,457200000.0,141300000.0,44400000.0,,303600000.0,
163,1011308,,,,,457200000.0,141300000.0,44400000.0,,303600000.0,
164,1011308,,,,,525700000.0,204500000.0,-30600000.0,,213600000.0,
165,1011308,,,,,525700000.0,204500000.0,-30600000.0,,213600000.0,
166,1011308,,,,,525700000.0,204500000.0,-30600000.0,,213600000.0,
167,1011308,,,,,525700000.0,204500000.0,-30600000.0,,213600000.0,
168,1011308,,,,,461800000.0,195300000.0,-103500000.0,,138900000.0,
169,1011308,,,,,461800000.0,195300000.0,-103500000.0,,138900000.0,
170,1011308,,,,,461800000.0,195300000.0,-103500000.0,,138900000.0,
171,1011308,,,,,461800000.0,195300000.0,-103500000.0,,138900000.0,
172,1011308,,,,,505000000.0,239100000.0,-54400000.0,,110900000.0,
173,1011308,,,,,505000000.0,239100000.0,-54400000.0,,110900000.0,
174,1011308,,,,,505000000.0,239100000.0,-54400000.0,,110900000.0,
175,1011308,,,,,505000000.0,239100000.0,-54400000.0,,110900000.0,
176,1011308,,,,,505000000.0,239100000.0,-54400000.0,,110900000.0,
177,1011308,,,,,505000000.0,239100000.0,-54400000.0,,110900000.0,
178,1011308,,,,,345200000.0,-189600000.0,-70000000.0,,41000000.0,
179,1011308,,,,,345200000.0,-189600000.0,-70000000.0,,41000000.0,
180,1011308,,,,,315700000.0,-196100000.0,24400000.0,,65500000.0,
181,1011308,,,,,315700000.0,-196100000.0,24400000.0,,65500000.0,
182,1011308,,,,,315700000.0,-196100000.0,24400000.0,,65500000.0,
183,1011308,,,,,315700000.0,-196100000.0,24400000.0,,65500000.0,
184,1011308,,,,,211800000.0,-101300000.0,45300000.0,,124800000.0,
185,1011308,,,,,211800000.0,-101300000.0,45300000.0,,124800000.0,
186,1011308,,,,,211800000.0,-101300000.0,45300000.0,,124800000.0,
187,1011308,,,,,211800000.0,-101300000.0,45300000.0,,124800000.0,
188,1011308,,,,,156300000.0,-53800000.0,52000000.0,,75800000.0,
189,1011308,,,,,156300000.0,-53800000.0,52000000.0,,75800000.0,
190,1011308,,,,,156300000.0,-53800000.0,52000000.0,,75800000.0,
191,1011308,,,,,156300000.0,-53800000.0,52000000.0,,75800000.0,
192,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
193,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
194,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
195,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
196,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
197,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
198,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
199,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
200,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
201,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
202,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
203,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
204,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
205,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
206,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
207,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
208,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
209,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
210,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
211,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
212,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
213,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
214,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
215,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
216,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
217,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
218,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
219,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
220,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
221,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
222,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
223,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
224,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
225,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
226,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
227,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
228,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
229,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
230,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
231,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
232,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
233,1011308,,,,,127900000.0,-56600000.0,53700000.0,,104500000.0,
234,1048268,,1.0,IES Holdings Inc,,334682000.0,225462000.0,48107000.0,0.0,-219000.0,
235,1048268,,,,,334682000.0,225462000.0,48107000.0,,-219000.0,
236,1048268,,,,,334682000.0,225462000.0,48107000.0,,-219000.0,
237,1048268,,,,,445752000.0,243222000.0,21156000.0,,11537000.0,
238,1048268,,,,,445752000.0,243222000.0,21156000.0,,11537000.0,
239,1048268,,,,,445752000.0,243222000.0,21156000.0,,11537000.0,
240,1048268,,,,,445752000.0,243222000.0,21156000.0,,11537000.0,
241,1048268,,,,,452514000.0,283286000.0,28710000.0,,45990000.0,
242,1048268,,,,,452514000.0,283286000.0,28710000.0,,45990000.0,
243,1048268,,,,,452514000.0,283286000.0,28710000.0,,45990000.0,
244,1048268,,,,,452514000.0,283286000.0,28710000.0,,45990000.0,
245,1048268,,,,,437730000.0,216230000.0,-275008000.0,,56212000.0,
246,1048268,,,,,437730000.0,216230000.0,-275008000.0,,56212000.0,
247,1048268,,,,,437730000.0,216230000.0,-275008000.0,,56212000.0,
248,1048268,,,,,437730000.0,216230000.0,-275008000.0,,56212000.0,
249,1048268,,,,,436574000.0,208177000.0,19437000.0,,67023000.0,
250,1048268,,,,,436574000.0,208177000.0,19437000.0,,67023000.0,
251,1048268,,,,,436574000.0,208177000.0,19437000.0,,67023000.0,
252,1048268,,,,,436574000.0,208177000.0,19437000.0,,67023000.0,
253,1048268,,,,,443149000.0,209008000.0,-124864000.0,,61486000.0,
254,1048268,,,,,443149000.0,209008000.0,-124864000.0,,61486000.0,
255,1048268,,,,,443149000.0,209008000.0,-124864000.0,,61486000.0,
256,1048268,,,,,443149000.0,209008000.0,-124864000.0,,61486000.0,
257,1048268,,,,,350422000.0,195535000.0,-129632000.0,,-8482000.0,
258,1048268,,,,,350422000.0,195535000.0,-129632000.0,,-8482000.0,
259,1048268,,,,,350422000.0,195535000.0,-129632000.0,,-8482000.0,
260,1048268,,,,,350422000.0,195535000.0,-129632000.0,,-8482000.0,
261,1048268,,,,,284539000.0,27599000.0,-383000.0,,134799000.0,
262,1048268,,,,,284539000.0,27599000.0,-383000.0,,134799000.0,
263,1048268,,,,,284539000.0,27599000.0,-383000.0,,134799000.0,
264,1048268,,,,,284539000.0,27599000.0,-383000.0,,134799000.0,
265,1048268,,,,,293417000.0,-23900000.0,-4412000.0,,135930000.0,
266,1048268,,,,,293417000.0,-23900000.0,-4412000.0,,135930000.0,
267,1048268,,,,,293417000.0,-23900000.0,-4412000.0,,135930000.0,
268,1048268,,,,,293417000.0,-23900000.0,-4412000.0,,135930000.0,
269,1048268,,,,,264109000.0,-35065000.0,-187000.0,,139132000.0,
270,1048268,,,,,264109000.0,-35065000.0,-187000.0,,139132000.0,
271,1048268,,,,,264109000.0,-35065000.0,-187000.0,,139132000.0,
272,1048268,,,,,264109000.0,-35065000.0,-187000.0,,139132000.0,
273,1048268,,,,,221270000.0,-35487000.0,-12067000.0,,128567000.0,
274,1048268,,,,,221270000.0,-35487000.0,-12067000.0,,128567000.0,
275,1048268,,,,,221270000.0,-35487000.0,-12067000.0,,128567000.0,
276,1048268,,,,,221270000.0,-35487000.0,-12067000.0,,128567000.0,
277,1048268,,,,,171054000.0,-21668000.0,-31155000.0,,96613000.0,
278,1048268,,,,,171054000.0,-21668000.0,-31155000.0,,96613000.0,
279,1048268,,,,,171054000.0,-21668000.0,-31155000.0,,96613000.0,
280,1048268,,,,,171054000.0,-21668000.0,-31155000.0,,96613000.0,
281,1048268,,,,,160495000.0,-25079000.0,-37823000.0,,59855000.0,
282,1048268,,,,,160495000.0,-25079000.0,-37823000.0,,59855000.0,
283,1048268,,,,,160495000.0,-25079000.0,-37823000.0,,59855000.0,
284,1048268,,,,,160495000.0,-25079000.0,-37823000.0,,59855000.0,
285,1048268,,,,,147385000.0,-8249000.0,-11802000.0,,48711000.0,
286,1048268,,,,,147385000.0,-8249000.0,-11802000.0,,48711000.0,
287,1048268,,,,,147385000.0,-8249000.0,-11802000.0,,48711000.0,
288,1048268,,,,,147385000.0,-8249000.0,-11802000.0,,48711000.0,
289,1048268,,,,,144025000.0,-6985000.0,-3573000.0,,44424000.0,
290,1048268,,,,,144025000.0,-6985000.0,-3573000.0,,44424000.0,
291,1048268,,,,,144025000.0,-6985000.0,-3573000.0,,44424000.0,
292,1048268,,,,,144025000.0,-6985000.0,-3573000.0,,44424000.0,
293,1048268,,,,,167957000.0,-37134000.0,5324000.0,,69476000.0,
294,1048268,,,,,167957000.0,-37134000.0,5324000.0,,69476000.0,
295,1048268,,,,,167957000.0,-37134000.0,5324000.0,,69476000.0,
296,1048268,,,,,167957000.0,-37134000.0,5324000.0,,69476000.0,
297,1048268,,,,,189040000.0,-40153000.0,16538000.0,,79442000.0,
298,1048268,,,,,189040000.0,-40153000.0,16538000.0,,79442000.0,
299,1048268,,,,,189040000.0,-40153000.0,16538000.0,,79442000.0,
300,1048268,,,,,189040000.0,-40153000.0,16538000.0,,79442000.0,
301,1048268,,,,,209728000.0,-1909000.0,120878000.0,,151746000.0,
302,1048268,,,,,209728000.0,-1909000.0,120878000.0,,151746000.0,
303,1048268,,,,,209728000.0,-1909000.0,120878000.0,,151746000.0,
304,1048268,,,,,209728000.0,-1909000.0,120878000.0,,151746000.0,
305,1048268,,,,,231752000.0,4415000.0,13594000.0,,158598000.0,
306,1048268,,,,,231752000.0,4415000.0,13594000.0,,158598000.0,
307,1048268,,,,,231752000.0,4415000.0,13594000.0,,158598000.0,
308,1048268,,,,,231752000.0,4415000.0,13594000.0,,158598000.0,
309,1048268,,,,,262693000.0,6549000.0,-13803000.0,,139115000.0,
310,1048268,,,,,262693000.0,6549000.0,-13803000.0,,139115000.0,
