Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
30305,1.0,2414000.0,,Ducommun Inc,27557000.0,59070000.0,3220000.0,,30305.0,114602000.0,59070000.0,435000.0,,212744000.0,,78592000.0,3244000.0,,156340000.0,0.0,,91356000.0,101473000.0,216075000.0,59070000.0,14603000.0,45537000.0,,,Aerospace Product and Parts Manufacturing,59070000.0,6.09254,49884000.0,,23390000.0,52298000.0,
30305,,174000.0,,,17136000.0,64910000.0,0.0,,,120442000.0,64910000.0,699000.0,,212446000.0,,85097000.0,-820000.0,,220680000.0,,,76729000.0,77168000.0,197610000.0,64910000.0,6505000.0,42743000.0,,,,64910000.0,6.5805,25676000.0,,10632000.0,25850000.0,
30305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34022000.0,,
30305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6465000.0,,
30305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27557000.0,,
30305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9133000.0,,
30305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13733000.0,,
30305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22866000.0,,
30305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5730000.0,,
30305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17136000.0,,
1326160,1.0,290000000.0,,Duke Energy Corp,3925000000.0,10959000000.0,1262000000.0,,1326160.0,12714000000.0,10959000000.0,-192000000.0,,,,6292000000.0,-3545000000.0,,18659570000.0,0.0,,9601000000.0,35817000000.0,48531000000.0,10959000000.0,1898000000.0,10455000000.0,,,"Electric Power Generation, Transmission and Distribution",10959000000.0,42.31316,17586000000.0,,1626000000.0,15605000000.0,
1326160,,874000000.0,,,2634000000.0,11197000000.0,1506000000.0,,734751.0,14967000000.0,11197000000.0,134000000.0,,,,6417000000.0,798000000.0,,19681500000.0,,,9900000000.0,45155000000.0,60122000000.0,11197000000.0,1034000000.0,10037000000.0,,,,11197000000.0,37.53222,24928000000.0,,236000000.0,23875000000.0,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4291000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-398000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4236000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1059000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-368000000.0,,
1326160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906000000.0,,
