Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1618417,,,Basic Chemical Manufacturing,,,,,,,Arysta LifeScience plc,1618417.0,,,,,,,,,,,,,,,
1490412,28193000.0,39017000.0,Software Publishers,,0.0,-95953000.0,-8254000.0,344688000.0,244629000.0,Velti PLC,1490412.0,292394000.0,127914000.0,127914000.0,-61174000.0,127914000.0,36571000.0,50000.0,1.94925,270344000.0,-66295000.0,0.0,127914000.0,537023000.0,33946000.0,191942000.0
1499849,112175000.0,24996000.0,Other Crop Farming,-6329000.0,0.0,70140000.0,61405000.0,171102000.0,215825000.0,Brasilagro Companhia Brasileira de Propriedades Agricolas,1499849.0,667468000.0,665796000.0,665796000.0,27310000.0,665796000.0,50770000.0,712250000.0,12.41361,,-185000.0,1.0,665796000.0,883293000.0,701000.0,157156000.0
1366852,0.0,,Metal Ore Mining,,0.0,-346432110.0,-26843960.0,27646840.0,73007930.0,Nautilus Minerals Inc,1366852.0,241719480.0,241719480.0,241719480.0,-14033620.0,241719480.0,26843960.0,108770000.0,0.37509,,-14289840.0,0.0,241719480.0,314727410.0,332390.0,18999340.0
1649394,1198600000.0,-10100000.0,"Boiler, Tank, and Shipping Container Manufacturing",16500000.0,0.0,8000000.0,1165200000.0,257400000.0,1854500000.0,Mauser Group NV,1649394.0,-26000000.0,-1047500000.0,-1047500000.0,-5100000.0,-1047500000.0,78600000.0,,-21.97883,1371800000.0,82100000.0,1.0,-1047500000.0,1828500000.0,,235600000.0
1442162,1813000000.0,,Metal Ore Mining,-121000000.0,0.0,1258000000.0,473000000.0,2014000000.0,3340000000.0,Polyus Gold International Ltd,1442162.0,1474000000.0,1474000000.0,1474000000.0,40000000.0,1474000000.0,1486000000.0,6852650000.0,0.48615,2239000000.0,846000000.0,0.0,1474000000.0,4814000000.0,4000000.0,827000000.0
1438569,4885040000.0,36474000.0,Pharmaceutical and Medicine Manufacturing,-173003000.0,0.0,2116793000.0,3993946000.0,3122514000.0,6408291000.0,Grifols SA,1438569.0,3721481000.0,-1117816000.0,-1117816000.0,712752000.0,-1117816000.0,897591000.0,15379210000.0,-1.63705,,939408000.0,1.0,-1117816000.0,10129772000.0,74871000.0,1071763000.0
1479300,295872000.0,42899000.0,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",62247000.0,1.0,48764000.0,294046000.0,595173000.0,436581000.0,Migao Corp,1479300.0,310780000.0,285864000.0,285864000.0,-25907000.0,285864000.0,1826000.0,38850000.0,5.44543,522272000.0,-12871000.0,0.0,285864000.0,747361000.0,,432803000.0
922237,1333000.0,-82000.0,Motor Vehicle Parts Manufacturing,0.0,0.0,-162870000.0,2427000.0,375000.0,6244000.0,Enova Systems Inc,922237.0,-5869000.0,-6963000.0,-6963000.0,-619000.0,-6963000.0,0.0,140000.0,-0.10792,0.0,-464000.0,1.0,-6963000.0,375000.0,,3524000.0
1464591,358672000.0,,Oil and Gas Extraction,,0.0,-132932000.0,318457000.0,121201000.0,534775000.0,GeoPark Ltd,1464591.0,105765000.0,105765000.0,105765000.0,-60646000.0,105765000.0,76043000.0,600510000.0,1.76449,192670000.0,-28613000.0,1.0,105765000.0,640540000.0,75774000.0,99513000.0
