,RIC,error
TBPH,,No best match available
DNOW,,No best match available
CALCQ,CALCQ.PK^C11,
BGO.1,,No best match available
CASC,,No best match available
SMC.2,,No best match available
ORB.H,,No best match available
BMPAF,,No best match available
BIBLF,,No best match available
HELIQ,,No best match available
DLPM,,No best match available
CWLPF,,No best match available
TKCI,,No best match available
CDXFF,CDXFF.PK^B08,
OPB,,No best match available
FMO.U,,No best match available
NYRT,NYRT.W^E14,
OBNNF,,No best match available
CMQ.1,,No best match available
CBWBF,,No best match available
HLBYL,,No best match available
IFLO,,No best match available
LNBB,,No best match available
PE,,No best match available
LOB,,No best match available
CETEF,,No best match available
CCCFF,CCCFF.PK^H12,
LCUAF,,No best match available
ANGN,,No best match available
CRWFF,,No best match available
ZSK,,No best match available
VYRX,,No best match available
NRTHF,,No best match available
CGECF,,No best match available
ZEDIF,,No best match available
BNEFF,,No best match available
TAG,,No best match available
PMAR,,No best match available
MOBL,,No best match available
JMEI,,No best match available
DNCE,,No best match available
IBXNF,,No best match available
BCHP,,No best match available
SRRTF,,No best match available
COT,COT,
CXSNF,,No best match available
CCAOF,,No best match available
XEU.,,No best match available
WPG,WPG,
DXIEF,,No best match available
ATHTF,,No best match available
PLFX,,No best match available
EPCDF,,No best match available
BYLD,,No best match available
GEA.Z,,No best match available
EXCOF,,No best match available
GLRI,,No best match available
XEH.,,No best match available
FRSH,FRSH.W^E14,
NEXT.,,No best match available
ARES,,No best match available
ULTH,,No best match available
EANRF,,No best match available
ECVTF,,No best match available
OEC,OEC,
FBRWY,FBRWY.PK^L11,
HRTG,,No best match available
CZR,,No best match available
SLM,,No best match available
GLDLF,,No best match available
FCP.Z,,No best match available
GDSEF,GDSEF.PK^J11,
BNKJF,,No best match available
GWGH.,,No best match available
PHR.,,No best match available
PHE.B,,No best match available
CN,,No best match available
MBN.1,,No best match available
PBI.,,No best match available
HMM.,,No best match available
HIS.,,No best match available
SUBD,,No best match available
VRP,VRP,
FNXMF,FNXMF.PK^F10,
QAT,,No best match available
UAE,,No best match available
APPG,APPG.PK^D11,
WLKP,,No best match available
GCAAF,,No best match available
MET1,,No best match available
PRES,,No best match available
IGAMF,,No best match available
PRTN,PRTN.BEL^B09,
FTGFF,,No best match available
HRIVF,HRIVF.PK^C13,
HLB.Z,,No best match available
HMCBF,,No best match available
GSS,GSS,
AMBX,,No best match available
GDF.H,,No best match available
ATTO,,No best match available
NACG.,,No best match available
3BKBO,,No best match available
IPMLF,,No best match available
RYAM,,No best match available
EUDG,,No best match available
IHDG,,No best match available
MR,,No best match available
MRKT,,No best match available
LMB,,No best match available
RPID.,,No best match available
MET2,METD1W2MF7:OX^1,
IVXLF,,No best match available
ABSSF,,No best match available
ZPIN,,No best match available
ELRFF,,No best match available
BABA,,No best match available
HBB.,,No best match available
VNOM,,No best match available
NXLFF,NXLFF.PK^L10,
JPEP,,No best match available
PBFX,,No best match available
TRUE,,No best match available
ETFM,,No best match available
COG,,No best match available
WPO.1,,No best match available
ABDC,,No best match available
NAOV,,No best match available
LIMAF,,No best match available
LTKBF,,No best match available
MRNS,,No best match available
TAHEF,,No best match available
MDCA,,No best match available
MIV.,,No best match available
MMG.Z,,No best match available
CEKFF,,No best match available
HVCW,,No best match available
NLBS,,No best match available
BMTNF,,No best match available
NG,,No best match available
MTLRF,,No best match available
OUNZ,,No best match available
FMB,,No best match available
ZSPH,,No best match available
NWIFF,,No best match available
GDTC,GDTC.PK^H09,
SCRFF,SCRFF.PK^J12,
OPWEF,,No best match available
NXEO,,No best match available
DMTK,,No best match available
PAC.1,,No best match available
ISTR,,No best match available
MPUCF,,No best match available
LIN.Z,,No best match available
PTF.2,,No best match available
KITE,KITE.PH^B09,
GPRO,,No best match available
ARDX,,No best match available
ORVMF,,No best match available
SNDX,,No best match available
NWLTF,,No best match available
DNR,DNR,
PARNF,,No best match available
NEP,NEP,
GGROU,,No best match available
AMPH,,No best match available
WSTI,WSTI.PK^H09,
VEC,VEC,
ASHS,,No best match available
PAAS,,No best match available
ADPTQ,,No best match available
ROKA,,No best match available
PRMRF,,No best match available
FFWM,,No best match available
PGHEF,,No best match available
OBE,OBE,
SYF,SYF,
PFBOF,,No best match available
KE,,No best match available
NSAM,,No best match available
GGAC,,No best match available
PDS,PDS,
DOOR,,No best match available
LTRPA,,No best match available
PUB.Z,,No best match available
BURNF,,No best match available
QEE,,No best match available
PREKF,,No best match available
LQDH,,No best match available
HYGH,,No best match available
IBDH,,No best match available
IBDF,,No best match available
RLMD,,No best match available
RIC,,No best match available
SGLB.,,No best match available
LALT,,No best match available
CVTGF,,No best match available
RMKMF,RMKMF.PK^A10,
FZMD.,,No best match available
SRXHF,SRXHF.PK^K08,
STADF,,No best match available
SCFZF,SCFZF.PK^F07,
TERP,,No best match available
SPKE,,No best match available
ZFGN,,No best match available
SZ.,,No best match available
TESO,,No best match available
ANET,,No best match available
AXJV,,No best match available
MTNB,,No best match available
Q.H,Qh.CCP^H19,
UDFI,,No best match available
EUMV,,No best match available
JPMV,,No best match available
SMEZ,,No best match available
QEFA,,No best match available
QEMM,,No best match available
QWLD,,No best match available
LATX,,No best match available
SWEE,,No best match available
CSCO,,No best match available
0090A,,No best match available
SEL,,No best match available
SDIG,,No best match available
BXMT,,No best match available
PFNX,,No best match available
KXSCF,,No best match available
QCEL,,No best match available
BEVB,,No best match available
THD.,,No best match available
TIMNF,,No best match available
INVT,,No best match available
GGZ,GGZ,
HQY,,No best match available
TYRRF,TYRRF.PK^D08,
UTS.Z,,No best match available
UBAAF,,No best match available
IEUR,,No best match available
IPAC,,No best match available
VHL.Z,,No best match available
DGRO,,No best match available
VTNC,,No best match available
IUSB,,No best match available
MOY.Z,,No best match available
QAUS,QAUS.A^G17,
ZCAN,,No best match available
WIDMF,,No best match available
WDRMF,,No best match available
WIPKF,,No best match available
ZDEU,,No best match available
ZJPN,,No best match available
QESP,QESP.A^G17,
SDURF,,No best match available
ZGBR,,No best match available
XCL.Z,,No best match available
SYITF,,No best match available
YRBAF,,No best match available
AKLPF,,No best match available
LSDAF,,No best match available
PRBI,,No best match available
IMPR,,No best match available
KER.U,,No best match available
SLNO,,No best match available
BRAI,,No best match available
HOLX,,No best match available
IF,,No best match available
TPP.1,,No best match available
CANL,,No best match available
CEE,CEE,
BHBK,,No best match available
JPGE,,No best match available
JRNGF,,No best match available
ICE.,,No best match available
CLIS,,No best match available
TRUP,,No best match available
9328B,,No best match available
CMCSA,,No best match available
SAGE,,No best match available
SHLX,,No best match available
IRMD,,No best match available
MBBYF,,No best match available
VTTI,,No best match available
INNL,,No best match available
RNAI,,No best match available
PLYM,,No best match available
CNNE,,No best match available
ATEX,,No best match available
GSB.U,,No best match available
EBT.U,,No best match available
PGNPQ,PGNPQ.PQ^G17,
0175A,,No best match available
IDEV.,,No best match available
USXP,USXP.PK^I09,
PRF.U,,No best match available
SLYQF,,No best match available
FHY.,,No best match available
HSDT,,No best match available
CYBR,,No best match available
ZSAN,,No best match available
LNTH,,No best match available
MCUR,,No best match available
XENT,,No best match available
TBRA,,No best match available
IMDZ,,No best match available
RIGP,,No best match available
AWA,,No best match available
ATRA,,No best match available
TRTL,,No best match available
OCUL,,No best match available
LOXO,,No best match available
YDLE,,No best match available
BSIG,,No best match available
ADVM,,No best match available
MAPI,,No best match available
VMET,,No best match available
CDC,,No best match available
CFO,,No best match available
CFA,,No best match available
VKTX,,No best match available
TTOO,,No best match available
RMBL,,No best match available
SPRS,,No best match available
AKTS,,No best match available
AEEX.,,No best match available
ABEA,,No best match available
DPLO,,No best match available
HMLP,,No best match available
DSKY,,No best match available
EEHI,,No best match available
VXC.,,No best match available
VBU.,,No best match available
VBG.,,No best match available
GRWC,,No best match available
VA.,,No best match available
VE.,,No best match available
DFG,,No best match available
JOF,JOF,
MDNU,,No best match available
REET,,No best match available
HEZU,,No best match available
MAUI,,No best match available
MORE,,No best match available
DGLT,,No best match available
SNC,,No best match available
MBVXQ,,No best match available
VEI,,No best match available
YO,,No best match available
RWLK,,No best match available
BNK,,No best match available
CFGE,,No best match available
SBCP,SBCP.PK^H09,
HOG.,,No best match available
ADMT,,No best match available
AXDX,,No best match available
SGDM,,No best match available
LOCO,,No best match available
EPRSQ,,No best match available
FCSC,,No best match available
ABMC,,No best match available
NAME,,No best match available
ATGR,,No best match available
AINN,,No best match available
OTIC,,No best match available
MOLGY,,No best match available
IDR,,No best match available
AST,,No best match available
TNSB,,No best match available
SIXX,,No best match available
ACUIF,,No best match available
XSQ.,,No best match available
USB.,,No best match available
PFL.,,No best match available
VPGC,VPGC.PK^C12,
ICD,ICD,
IRL,,No best match available
NBEV,,No best match available
MRX,,No best match available
MZEIQ,,No best match available
RNWR,,No best match available
MFGI,,No best match available
MBKL,,No best match available
YTBLQ,,No best match available
ETP.,,No best match available
MBK.U,,No best match available
SMAC,,No best match available
EARS,,No best match available
VBLT,,No best match available
IFV,,No best match available
CNXT,,No best match available
GQMNF,,No best match available
PTVRF,,No best match available
CFRX,,No best match available
USCS,,No best match available
LBRDK,,No best match available
NTN,NTN,
THQ,THQ,
TTI,TTI,
VICR,,No best match available
CGA,CGA,
SYTL,,No best match available
MDLL,,No best match available
MATR.,,No best match available
SMLL,,No best match available
VA,,No best match available
SNBP,,No best match available
UGEIF,,No best match available
DIVI,,No best match available
TF,,No best match available
EYEG,,No best match available
ABWN,,No best match available
IBLN,.IBLN,
FCUV,,No best match available
CSF,,No best match available
RCFO,RCFO.PK^L08,
IMC,,No best match available
PSWR,,No best match available
CWLTQ,CWLTQ.PK^F12,
WYDE,,No best match available
TYTE,,No best match available
CLSI,,No best match available
MPPNF,,No best match available
FTSM,,No best match available
GNBC,,No best match available
SMC.,,No best match available
AVNS,,No best match available
NNUP,,No best match available
TKAI,,No best match available
SAVB,,No best match available
AXAR,,No best match available
STD1,,No best match available
EYES,,No best match available
VTAE,,No best match available
UNIB,,No best match available
ADVR,ADVR.PK^D12,
OIC.1,,No best match available
BAT.1,,No best match available
CRFT,,No best match available
GVA,GVA,
CRC,,No best match available
RDGA,,No best match available
ZAYO,,No best match available
CAT1,,No best match available
LSTR,,No best match available
CNVAF,,No best match available
FWP,,No best match available
FDIV,,No best match available
BEAV,,No best match available
JMAR,,No best match available
EF.1,,No best match available
ORB,,No best match available
IBMI,,No best match available
PLCC,,No best match available
KMPR,,No best match available
AMNF,,No best match available
JFI.,,No best match available
HHY.U,,No best match available
LCRTF,,No best match available
UNVR,,No best match available
ASHW,,No best match available
CVRS,,No best match available
CZFS,,No best match available
FOMX,,No best match available
PRQR,,No best match available
CMTV,,No best match available
PROS.,,No best match available
EFAD,,No best match available
W,W,
AAON,,No best match available
MDLY,,No best match available
CREX,,No best match available
EPEO,,No best match available
ESSE,,No best match available
CIWT,,No best match available
ELST,,No best match available
ENCP,,No best match available
ENUMQ,,No best match available
OGI,OGI.Z,
WBIA,,No best match available
WBIB,,No best match available
WBIC,,No best match available
WBID,,No best match available
WBIF,,No best match available
WBIG,,No best match available
WBIL,,No best match available
CIVB,,No best match available
WBII,,No best match available
VIST.,,No best match available
WBIH,,No best match available
CADT,0CADTZ3:YX^1,
RYTM,,No best match available
PGRE,,No best match available
GWB,GWB,
DERM,,No best match available
JAGX.,,No best match available
CVTS,,No best match available
NSIG,,No best match available
VSLR,,No best match available
CALA,,No best match available
USDP,,No best match available
ENOV,,No best match available
STOR,,No best match available
VBTX,,No best match available
AFMD,,No best match available
MBSD,,No best match available
EDYYF,,No best match available
CNXM,,No best match available
OCHTQ,OCHTQ.PK^F12,
IAIC,,No best match available
RNSFF,,No best match available
FTLS,,No best match available
STIM.,,No best match available
BSMLQ,BSMLQ.PK^D12,
EWOOF,,No best match available
GERS,,No best match available
ELV.,,No best match available
ILV.,,No best match available
BRR,,No best match available
EMHTF,,No best match available
FSAM,,No best match available
6536B,,No best match available
FRF.,,No best match available
FDV.,,No best match available
NMO,,No best match available
LWEL,,No best match available
LDRI,,No best match available
YUMA.,,No best match available
RORO,,No best match available
PRAH,,No best match available
NVEC,,No best match available
XENE,,No best match available
RCBC,,No best match available
CTTH,,No best match available
CDK,,No best match available
TOFR,,No best match available
VGGOF,,No best match available
AVNR,,No best match available
MMSI,,No best match available
BSCN,,No best match available
BSCO,,No best match available
BSJL,,No best match available
BSJM,,No best match available
QTWN,,No best match available
SRMC,,No best match available
QKOR,,No best match available
QMEX,,No best match available
FRPT,,No best match available
VCTR,,No best match available
VWR,,No best match available
PRTO,,No best match available
CTXR,,No best match available
ERI,,No best match available
AS.Z,,No best match available
SKYS,,No best match available
TBK,,No best match available
TVPT,,No best match available
NDRM,,No best match available
DVP,DVP,
BCO.H,,No best match available
ESTX,,No best match available
BSGM,,No best match available
CFG,CFG,
GBSNQ,,No best match available
ANN,,No best match available
KSMRF,,No best match available
HESM,,No best match available
TUSK,,No best match available
DMK.,,No best match available
VIVE,,No best match available
HEEM,,No best match available
CHRS,,No best match available
XMLP,,No best match available
MPG,,No best match available
HUBS,,No best match available
0181A,,No best match available
SIRCQ,,No best match available
GLBXF,,No best match available
TLCC,,No best match available
EMRE,,No best match available
ARKQ,,No best match available
ARKW,,No best match available
GIB,,No best match available
ENA,,No best match available
MRT,,No best match available
CIZ,,No best match available
DWAT,,No best match available
9462B,,No best match available
IRO.,,No best match available
KWGBF,,No best match available
FIA,,No best match available
FUTS,,No best match available
MTRAF,,No best match available
CPPL,,No best match available
KREE,,No best match available
VGMNF,,No best match available
BOOT,,No best match available
PTXP,PTXP.TH^F15,
FGEN,,No best match available
VAALF,VAALF.PK^G12,
AMZA,,No best match available
PANL,,No best match available
LHSIF,,No best match available
NVRO,,No best match available
IPOS,,No best match available
DM,,No best match available
VBAY,,No best match available
SFAZ,,No best match available
MQTRF,,No best match available
FCOR,,No best match available
FBND,,No best match available
FLTB,,No best match available
ALTS,,No best match available
MAZ.H,,No best match available
PMM.,,No best match available
PEU.,,No best match available
HRMN,,No best match available
MEVI,,No best match available
NAP,,No best match available
HSL.,,No best match available
BZDLF,,No best match available
HDRA,,No best match available
EMHZ,,No best match available
COMT,,No best match available
CCRC,,No best match available
PLPD,,No best match available
TF.1,,No best match available
VBND,,No best match available
ORLP,,No best match available
PSRT,,No best match available
WQM.1,,No best match available
HABT,,No best match available
MELR,,No best match available
FEUZ,,No best match available
DAX,,No best match available
NEOT,,No best match available
CNXR,,No best match available
WK,WK,
TVLYQ,,No best match available
RIDH.,,No best match available
DPDW,,No best match available
RXD.,,No best match available
RPD.,,No best match available
RUDH.,,No best match available
RPDH.,,No best match available
EFFE,,No best match available
SCTO,,No best match available
QVAL,,No best match available
SNR,SNR,
CRBP,,No best match available
SIEN,,No best match available
SYNH,,No best match available
UPLD,,No best match available
GRBK,,No best match available
DIIBF,,No best match available
FHH.,,No best match available
FHE.,,No best match available
MCF,MCF,
USTX,USTX.PK^C12,
FHQ.,,No best match available
ISYS,,No best match available
FHU.,,No best match available
FHM.,,No best match available
FHG.,,No best match available
FHD.,,No best match available
FA.,,No best match available
FHC.,,No best match available
FHF.,,No best match available
DMMOY,,No best match available
ARKK,,No best match available
ARKG,,No best match available
STXX,,No best match available
VH.Z,,No best match available
JYNT,,No best match available
AZZUF,,No best match available
IBOC,,No best match available
GLCI,GLCI.AM^D13,
GMOM,,No best match available
RADB,RADB.BEL^L06,
FEMB,,No best match available
FPXI,,No best match available
LMBS,,No best match available
EHIC,,No best match available
NMRD,,No best match available
AINC,,No best match available
ESGI,,No best match available
UBH,,No best match available
LMRK,,No best match available
ITEK,,No best match available
TRVL,,No best match available
JPIN,,No best match available
AXTA,,No best match available
SXBUU,,No best match available
ATIS,,No best match available
TANH,,No best match available
BDLS,,No best match available
AW,,No best match available
PDBC,,No best match available
AIOM,,No best match available
MICR,,No best match available
FND,FND,
RMP,,No best match available
MOMO,,No best match available
ONDK,,No best match available
CBON,,No best match available
UNIR,,No best match available
HACK,,No best match available
VEXPQ,,No best match available
HDP,,No best match available
UFAB,,No best match available
EESV,,No best match available
NEWR,,No best match available
ZEL.,,No best match available
ZDI.,,No best match available
ZGQ.,,No best match available
ZUQ.,,No best match available
SKOR,,No best match available
SOUM,,No best match available
IPLO.,,No best match available
EMQQ,,No best match available
ICBK,,No best match available
AZUR.,,No best match available
KSWS,,No best match available
TBI,TBI,
INTR,,No best match available
HMTXF,,No best match available
NBOH,,No best match available
OVLG,,No best match available
PSYS.,,No best match available
OACQF,,No best match available
HSGX,,No best match available
JUNO,,No best match available
CHNB,,No best match available
VXM.B,,No best match available
ZXM.,,No best match available
WOLVQ,WOLVQ.PK^I08,
8106B,,No best match available
NCO,,No best match available
BLCM,,No best match available
HCA,HCA,
AAAP,,No best match available
CYFL,,No best match available
DDRT.,,No best match available
SND,SND.Z,
FSF.,,No best match available
PUD.,,No best match available
ESBF,,No best match available
HIE,HIE,
ATSI,,No best match available
JGH,JGH,
LOWC,,No best match available
ARWA,,No best match available
XLNX,,No best match available
SSRG,,No best match available
UTGN,,No best match available
9505B,,No best match available
KLXI,,No best match available
KCNY,,No best match available
NRXCF,,No best match available
BCTXF,,No best match available
IBDL,,No best match available
VRI,,No best match available
ELRE,,No best match available
LRAD,,No best match available
NRGXQ,,No best match available
CRBN,,No best match available
VALX,,No best match available
XSOE,,No best match available
APHA,,No best match available
DBEZ,,No best match available
AVOL,,No best match available
WARR,,No best match available
GAA,GAA,
BZYR,,No best match available
RSTRF,,No best match available
BRX1,,No best match available
CURO,,No best match available
ADS.P,,No best match available
PARR,,No best match available
ACB,ACB,
NINK.,,No best match available
UE,UE,
CRON,,No best match available
ACAT,,No best match available
VGI.U,,No best match available
FNTC,,No best match available
BBP,BBP,
BBC,BBC,
MDVX,,No best match available
IVAL,,No best match available
CYUR,,No best match available
SPCO,,No best match available
QKLS,,No best match available
ENCO,,No best match available
PNTPQ,,No best match available
SWFT.,,No best match available
FDVF,,No best match available
GTIM,,No best match available
HTLLQ,HTLLQ.PK^I11,
NQM,,No best match available
GRF,GRF,
DIVY,,No best match available
QPDC,,No best match available
AAU,AAU,
GMS,GMS,
HHL.,,No best match available
PIRS,,No best match available
AVTCQ,,No best match available
SUM,SUM,
ASND,,No best match available
WTSLQ,,No best match available
ITRO,,No best match available
EQAL,,No best match available
HIFR,,No best match available
LCI,LCI,
UOIP,,No best match available
PUMP.,,No best match available
YECOF,,No best match available
MGN,,No best match available
VSTO,,No best match available
REDX,,No best match available
BNCH,,No best match available
IDGX,,No best match available
ENTL,,No best match available
ESTE,,No best match available
SHAK,,No best match available
FLKS,.FTFLKS,
DEA,DEA,
HLG,,No best match available
CHEK,,No best match available
SBIO,,No best match available
TCON,,No best match available
CBYL,,No best match available
AVGR,,No best match available
PIAC,,No best match available
RAFI,,No best match available
INOV,,No best match available
ONCE,,No best match available
HTGM,,No best match available
NVET,,No best match available
SYBT,,No best match available
SYS.5,,No best match available
PUBC,,No best match available
APMFF,,No best match available
WELX,,No best match available
PATI,,No best match available
3WYOI,,No best match available
GRTD.,,No best match available
BXLT,,No best match available
CC,,No best match available
AVDX,,No best match available
TIKK,,No best match available
FRNKF,,No best match available
TSSW,,No best match available
UQM,,No best match available
KEN,,No best match available
HIPS,,No best match available
SIAF,,No best match available
BJS.1,,No best match available
LLDM,,No best match available
PPSC,,No best match available
MOC,,No best match available
LLEM,,No best match available
JPEM,,No best match available
PPLC,,No best match available
CWBR,,No best match available
MODTQ,,No best match available
TRMB,,No best match available
VERU,,No best match available
CTMCY,CTMCY.PK^E09,
3CTHE,,No best match available
LAQ,,No best match available
CHUX,,No best match available
DIV.2,,No best match available
SGF,,No best match available
3525B,,No best match available
AJX,AJX,
VLEN,,No best match available
SECU,,No best match available
CKX,CKX,
TLLT.,,No best match available
JMU,,No best match available
CGWB,,No best match available
NVTA,,No best match available
AVNU,,No best match available
IQLT,,No best match available
IMTM,,No best match available
DIVA,,No best match available
QPAC,QPAC.W^E14,
GRNQ,,No best match available
ALPE,,No best match available
CES.,,No best match available
CED.,,No best match available
HII.,,No best match available
TNKS,,No best match available
HCT.1,,No best match available
BLPH,,No best match available
XSI.,,No best match available
OKRGQ,,No best match available
SBUS,,No best match available
SBEU,,No best match available
SGHL,,No best match available
RSRV,,No best match available
EPIX,,No best match available
DTCT,DTCT.PK^H10,
FCRGF,,No best match available
FNWB,,No best match available
RGRO,,No best match available
RNHDA,,No best match available
CBB.,,No best match available
BHAC,,No best match available
XHR,XHR,
FFXDF,,No best match available
AVEW.,,No best match available
CRK.5,,No best match available
TRH,,No best match available
FREL,,No best match available
REGL,,No best match available
SPYB,,No best match available
SMDV,,No best match available
ESFYY,,No best match available
EXPO,,No best match available
TRHF,,No best match available
MXPT,,No best match available
STDY,,No best match available
3TMSS,,No best match available
MXE,MXE,
NXF.,,No best match available
GHII,,No best match available
BHWB,,No best match available
REBL,,No best match available
JOEZ,,No best match available
KLOX,,No best match available
GDJJ,,No best match available
GDJS,,No best match available
SAFE.,,No best match available
GDXS,,No best match available
GDXX,,No best match available
GDDY,,No best match available
EQGP,,No best match available
UNIT,,No best match available
HQSM,HQSM.PK^D12,
KALL,,No best match available
SHMP,,No best match available
ENR,ENR,
BHE,BHE,
NXRT,,No best match available
VITL,,No best match available
FMMPV,,No best match available
VLRX,,No best match available
FRTA,,No best match available
XHU.,,No best match available
XAW.,,No best match available
RKDA,,No best match available
3667B,,No best match available
XUU.,,No best match available
XFH.,,No best match available
VRAY,,No best match available
FBMI,,No best match available
SYZLF,,No best match available
GEN,GEN,
XUH.,,No best match available
MSFG,,No best match available
MAIN.,,No best match available
FLRT,,No best match available
RISE,,No best match available
BCIS,BCIS.PK^C11,
SEDG,,No best match available
PESC,,No best match available
EASI.,,No best match available
NSA,NSA,
JCAP,,No best match available
TUTT,,No best match available
ENSL,,No best match available
TOTL,,No best match available
IFB.U,,No best match available
BLBD,,No best match available
RODM,,No best match available
ROAM,,No best match available
NSAT,,No best match available
ROUS,,No best match available
