CIK,Year,d_income,d_loss,d_increase,d_decrease,d_strong,d_discontinued,d_international,d_focus,d_repurchase,d_service,d_goodwill,d_reset,d_expenditure,d_stress,d_exit,d_tranche,d_accordingly
0001357371,2013,0.49738538,0.34103587,0.46069768,0.48901442,0.2447516,0.31571022,0.22536379,0.21687314,0.43857518,0.26026368,0.29587993,0.21757254,0.3882735,0.1799786,0.1856662,0.3473163,0.27300692
0001016281,2013,0.5537623,0.36071694,0.47421563,0.48351702,0.26779708,0.33490255,0.23525311,0.24918365,0.41510132,0.3479863,0.32446814,0.21714047,0.39547634,0.1829579,0.20005487,0.3206855,0.26062948
0001038280,2013,0.5457617,0.36102846,0.45666066,0.48974502,0.2605386,0.36904567,0.24568568,0.24966858,0.4297388,0.3158197,0.33326283,0.23739006,0.40004018,0.2074072,0.21100998,0.31491712,0.27744633
0000316793,2013,0.5450662,0.3663766,0.5138611,0.53016365,0.2653568,0.35789043,0.22869371,0.24745232,0.42716548,0.28913552,0.32343748,0.23554598,0.4250128,0.2060289,0.19909555,0.32614505,0.27051046
0001076195,2013,0.5462814,0.35636544,0.48560077,0.48084188,0.26980454,0.34779578,0.24957828,0.27137947,0.4040911,0.32730767,0.30780923,0.21069264,0.41995218,0.19682463,0.20436981,0.30758074,0.23773201
0000837173,2013,0.5291391,0.35783228,0.47208053,0.49306682,0.2542937,0.32218572,0.23387544,0.23956232,0.40891287,0.2710889,0.313256,0.22356921,0.41262025,0.2139932,0.20397687,0.33343142,0.2745306
0001058090,2013,0.4976803,0.31287962,0.50626796,0.49251726,0.26177108,0.30042928,0.2240927,0.25061724,0.395712,0.31553712,0.25202233,0.23116507,0.39163178,0.21803616,0.19051388,0.26596364,0.27665928
0000849146,2013,0.5517632,0.3634087,0.5160108,0.5235805,0.27295375,0.36508623,0.24723335,0.24756315,0.41280392,0.28504997,0.30160612,0.20041844,0.41045693,0.18558955,0.17749815,0.29670557,0.23657021
0000316300,2013,0.49909133,0.328573,0.46256766,0.48177633,0.24265842,0.3000113,0.23567042,0.23784415,0.4305797,0.27088284,0.28362834,0.21479899,0.4068606,0.19742133,0.19341367,0.33171073,0.28277585
0001436126,2013,0.56891936,0.33613747,0.51139253,0.5154854,0.27775323,0.33913547,0.23147953,0.24670012,0.41231346,0.3156598,0.3115129,0.19148904,0.43278813,0.16881934,0.18054995,0.31817585,0.24192256
0000868725,2013,0.5130856,0.36973718,0.47455856,0.5062121,0.23242477,0.3598716,0.20538948,0.21407817,0.4310181,0.28747323,0.30277738,0.22830844,0.39878148,0.16804336,0.18674125,0.34270865,0.23286167
0000009389,2013,0.52487785,0.33575693,0.47424316,0.47515053,0.28565308,0.3469936,0.2610103,0.2500859,0.43806598,0.3080005,0.29160976,0.2185373,0.39700636,0.18973796,0.20135382,0.33172968,0.25411114
0001126216,2013,0.491006,0.29658413,0.42042682,0.42859793,0.22638243,0.33455807,0.22469866,0.23254849,0.47160858,0.3619879,0.26829198,0.24576776,0.37835425,0.16515523,0.1997827,0.381472,0.24663013
0001343719,2013,0.4852479,0.31513017,0.45500493,0.46630374,0.2649275,0.311609,0.22706051,0.24569643,0.4366814,0.26936677,0.27711472,0.22485311,0.40765542,0.20141378,0.20107973,0.34054077,0.27982002
0000003116,2013,0.48615658,0.31656498,0.45217836,0.4565449,0.23724854,0.36198997,0.22160819,0.22949335,0.47135708,0.29783583,0.30601594,0.2523019,0.38464823,0.17239936,0.19228226,0.36858317,0.28596738
0000023666,2013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0001163165,2013,0.4866006,0.31714496,0.4730324,0.47801644,0.26132038,0.3061604,0.27631348,0.2613663,0.3870841,0.27845374,0.27948198,0.20399414,0.4126939,0.21832527,0.19548309,0.32064348,0.28334305
0000915862,2013,0.5364177,0.35452715,0.48341316,0.49418068,0.26438865,0.34135613,0.22807272,0.25560865,0.44330406,0.3098854,0.31547648,0.2324945,0.41548017,0.22214258,0.20666963,0.34214243,0.28551835
